UID,ADDR,SID,ITEM,BSID,IID,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI,COMMENT
203-1-1,203.1Y,203,1EQY,B3,1,Y,1X,YES,YES,YES,PP1,V,YES,SUBJ,NO,sort of swallows the subject
203-3-2,203.3X,203,3EDY,B3,3,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,
203-5-1,203.5Y,203,5EDY,B3,5,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,
203-7-2,203.7X,203,7EQN,B3,7,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
203-9-1,203.9Y,203,9EQY,B3,9,Y,1X,YES,NO,YES,PP1,V,YES,START,NO,
203-13-1,203.13Y,203,13EQN,B3,13,Y,1X,NO,NO,YES,PP1,NONE,YES,V,NO,
210-12-1,210.12Y,210,12EDN,B6,12,Y,16Y,YES,NO,YES,PP1,V,NO,,YES,
210-10-2,210.10X,210,10EQN,B6,10,X,16Y,YES,YES,YES,PP1,V,NO,,NO,
210-6-2,210.6X,210,6EQY,B6,6,X,16Y,YES,YES,YES,PP1,OBJ,NO,,NO,
210-2-2,210.2X,210,2EQN,B6,2,X,16Y,YES,YES,YES,PP1,V,NO,,NO,
210-12-2,210.12X,210,12EDN,B6,12,X,16Y,YES,YES,YES,PP1,V,NO,,YES,
210-10-1,210.10Y,210,10EQN,B6,10,Y,16Y,YES,YES,YES,PP1,OBJ,NO,,NO,
210-8-2,210.8X,210,8EDY,B6,8,X,16Y,YES,YES,YES,PP1,V,NO,,YES,
210-2-1,210.2Y,210,2EQN,B6,2,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,
9-2-2,9.2X,9,2EDN,B1,2,X,1X,YES,NO,YES,PP1,V,NO,,YES,
9-6-2,9.6X,9,6EDY,B1,6,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,
9-8-1,9.8Y,9,8EQY,B1,8,Y,1X,YES,YES,YES,PP1,V,NO,,NO,
9-14-2,9.14X,9,14EDY,B1,14,X,1X,YES,NO,YES,PP1,V,NO,,NO,
9-16-1,9.16Y,9,16EDY,B1,16,Y,1X,YES,NO,YES,PP1,V,NO,,YES,
9-2-1,9.2Y,9,2EDN,B1,2,Y,1X,YES,YES,YES,PP1,OBJ,YES,OBJ,YES,
9-8-2,9.8X,9,8EQY,B1,8,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
9-10-1,9.10Y,9,10EDN,B1,10,Y,1X,YES,NO,YES,PP1,V,YES,PP1,NO,
9-14-1,9.14Y,9,14EDY,B1,14,Y,1X,NO,YES,YES,PP1,OBJ,YES,PP1,NO,
9-16-2,9.16X,9,16EDY,B1,16,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,
17-15-1,17.15Y,17,15EQN,B5,15,Y,16Y,YES,YES,YES,PP1,V,YES,PP2,NO,
17-13-2,17.13X,17,13EQY,B5,13,X,16Y,NO,YES,YES,PP1,V,NO,,NO,
17-9-2,17.9X,17,9EQN,B5,9,X,16Y,YES,YES,YES,PP1,V,NO,,NO,
17-7-1,17.7Y,17,7EQY,B5,7,Y,16Y,YES,YES,YES,PP1,V,YES,PP2,NO,
17-1-2,17.1X,17,1EQN,B5,1,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,
17-15-2,17.15X,17,15EQN,B5,15,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,
17-11-2,17.11X,17,11EQY,B5,11,X,16Y,YES,YES,YES,PP1,V,NO,,NO,
17-7-2,17.7X,17,7EQY,B5,7,X,16Y,YES,YES,YES,PP1,V,NO,,NO,"""mantle place""? is this struggling? it's read fluently but it's wrong..."
