Filename,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,irt
20.39FDN,14172,True,False,False,20,39,0
20.43FDN,10317,True,False,False,20,43,0
20.1EQN,5895,False,True,False,20,1,0
20.8EQY,13832,False,True,True,20,8,0
20.46FDN,18367,True,False,False,20,46,0
20.21FQY,5442,True,True,True,20,21,0
20.19FQY,10544,True,True,True,20,19,0
20.9EQN,15532,False,True,False,20,9,0
20.2EDN,5328,False,False,False,20,2,0
20.16EDY,13718,False,False,True,20,16,0
20.12EQN,23242,False,True,False,20,12,0
20.6EDY,4761,False,False,True,20,6,0
20.37FDN,4421,True,False,False,20,37,0
20.40FDN,15079,True,False,False,20,40,0
20.27FQY,4875,True,True,True,20,27,0
20.20FQY,6235,True,True,True,20,20,0
20.47FDN,17233,True,False,False,20,47,0
20.11EQY,15306,False,True,True,20,11,0
20.18FQY,20634,True,True,True,20,18,0
20.15EQN,17120,False,True,False,20,15,0
20.5EDN,3854,False,False,False,20,5,0
20.3EDN,5215,False,False,False,20,3,0
20.7EQY,4761,False,True,True,20,7,0
20.32FDY,5328,True,False,True,20,32,0
20.36FQN,4081,True,True,False,20,36,0
20.26FQY,4648,True,True,True,20,26,0
20.41FDN,13265,True,False,False,20,41,0
9.22FDY,8616,True,False,True,9,22,0
9.45FDN,5895,True,False,False,9,45,0
9.48FQN,11904,True,True,False,9,48,0
9.13EDY,6462,False,False,True,9,13,0
9.17FDY,9070,True,False,True,9,17,0
9.8EDY,7029,False,False,True,9,8,0
9.1EDN,9863,False,False,False,9,1,0
9.30FQY,10317,True,True,True,9,30,0
9.34FDN,11451,True,False,False,9,34,0
9.24FDY,10090,True,False,True,9,24,0
9.29FDY,6916,True,False,True,9,29,0
9.39FQN,6122,True,True,False,9,39,0
9.43FQN,5895,True,True,False,9,43,0
9.33FQN,9637,True,True,False,9,33,0
9.23FDY,9977,True,False,True,9,23,0
9.44FDN,8163,True,False,False,9,44,0
9.4EQY,11111,False,True,True,9,4,0
9.14EQY,8616,False,True,True,9,14,0
9.10EQN,6689,False,True,False,9,10,0
9.38FQN,6235,True,True,False,9,38,0
9.35FQN,9863,True,True,False,9,35,0
9.42FQN,7596,True,True,False,9,42,0
9.25FQY,9863,True,True,True,9,25,0
9.31FQY,10884,True,True,True,9,31,0
9.28FDY,5215,True,False,True,9,28,0
9.11EDY,6122,False,False,True,9,11,0
9.5EQN,8049,False,True,False,9,5,0
9.18FDY,6916,True,False,True,9,18,0
9.15EDN,5668,False,False,False,9,15,0
9.20FDY,9750,True,False,True,9,20,0
9.47FQN,5782,True,True,False,9,47,0
9.32FQY,12585,True,True,True,9,32,0
9.36FDN,7029,True,False,False,9,36,0
9.26FDY,10090,True,False,True,9,26,0
9.41FQN,6802,True,True,False,9,41,0
9.3EQN,9410,False,True,False,9,3,0
9.7EDY,9183,False,False,True,9,7,0
9.9EDN,5668,False,False,False,9,9,0
9.19FDY,5215,True,False,True,9,19,0
9.46FQN,6009,True,True,False,9,46,0
9.21FDY,10090,True,False,True,9,21,0
9.37FQN,10430,True,True,False,9,37,0
9.40FQN,6689,True,True,False,9,40,0
9.27FDY,10544,True,False,True,9,27,0
9.6EQY,9183,False,True,True,9,6,0
9.16EQY,5782,False,True,True,9,16,0
9.12EDN,5668,False,False,False,9,12,0
9.2EQN,9863,False,True,False,9,2,0
11.44FDN,5328,True,False,False,11,44,0
11.23FDY,7483,True,False,True,11,23,0
11.16EQN,7369,False,True,False,11,16,0
11.5EQY,29365,False,True,True,11,5,0
11.7EDN,15646,False,False,False,11,7,0
11.3EQY,9523,False,True,True,11,3,0
11.31FQY,10657,True,True,True,11,31,0
11.28FDY,6802,True,False,True,11,28,0
11.35FQN,8276,True,True,False,11,35,0
11.25FQY,23922,True,True,True,11,25,0
11.42FQN,6689,True,True,False,11,42,0
11.48FQN,10770,True,True,False,11,48,0
11.45FDN,6349,True,False,False,11,45,0
11.17FDY,8390,True,False,True,11,17,0
11.6EQN,7823,False,True,False,11,6,0
11.11EDN,5328,False,False,False,11,11,0
11.15EDY,5215,False,False,True,11,15,0
11.39FQN,5102,True,True,False,11,39,0
11.43FQN,6235,True,True,False,11,43,0
11.30FQY,12471,True,True,True,11,30,0
11.34FDN,12811,True,False,False,11,34,0
11.29FDY,5895,True,False,True,11,29,0
11.24FDY,15873,True,False,True,11,24,0
11.19FDY,6916,True,False,True,11,19,0
11.10EQY,6235,False,True,True,11,10,0
11.21FDY,11111,True,False,True,11,21,0
11.37FQN,8616,True,True,False,11,37,0
11.8EDN,6349,False,False,False,11,8,0
11.1EDY,13605,False,False,True,11,1,0
11.27FDY,5102,True,False,True,11,27,0
11.18FDY,6802,True,False,True,11,18,0
11.47FQN,6462,True,True,False,11,47,0
11.41FQN,4648,True,True,False,11,41,0
11.32FQY,14965,True,True,True,11,32,0
11.36FDN,34807,True,False,False,11,36,0
11.4EQN,8956,False,True,False,11,4,0
7.41FQN,9863,True,True,False,7,41,7198
7.36FDN,4195,True,False,False,7,36,4109
7.32FQY,4535,True,True,True,7,32,6215
7.26FDY,4875,True,False,True,7,26,5354
7.13EDN,8276,False,False,False,7,13,5344
7.4EQN,9183,False,True,False,7,4,5707
7.18FDY,8956,True,False,True,7,18,5159
7.47FQN,7936,True,True,False,7,47,4139
7.20FDY,5668,True,False,True,7,20,5850
7.27FDY,4875,True,False,True,7,27,5294
7.37FQN,4195,True,True,False,7,37,6060
