Speaker ID,Recording ID,X or Y,First Recording For Speaker,Break after V?,Break after OBJ?,Break after PP1?,Strongest break?,Weakest break?,Struggle?,Start of struggle,Question?,Silence after reading (Y/R1),Silence before reading (X/R2)
11,11.5EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.4EQN_Y,Y,1Y,YES,NO,YES,PP1,V,NO,,YES,,
11,11.3EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.1EDY_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
13,13.1EDN_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.2EQN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES,,
13,13.3EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO,,
13,13.4EQY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES,,
13,13.5EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
13,13.6EQY_Y,Y,16X,YES,YES,YES,PP1,OBJ,NO,,YES,,
13,13.7EDY_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.8EDY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,,
13,13.9EDN_X,X,16X,NO,YES,YES,OBJ,PP1,YES,PP2,NO,,
13,13.10EQN_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
13,13.11EDY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
13,13.12EDN_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.13EDY_X,X,16X,NO,YES,YES,NONE,NONE,NO,,NO,,
13,13.14EQY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES,,
13,13.15EDN_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.16EQY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES,,
15,15.16EQN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES,,
15,15.15EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.14EQN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES,,
15,15.13EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.12EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.11EDN_Y,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO,,
15,15.10EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.9EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.8EDN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
15,15.7EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.6EQN_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.5EQY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.4EQN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES,,
15,15.3EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
15,15.2EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.1EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
17,17.1EDN_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
17,17.2EQN_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
17,17.3EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
17,17.4EQY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
17,17.5EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
17,17.6EQY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
17,17.7EDY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
17,17.8EDY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
17,17.9EDN_Y,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO,,
17,17.10EQN_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,NO,,
17,17.11EDY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
17,17.12EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
17,17.13EDY_Y,Y,16Y,YES,YES,YES,PP1,V,NO,,NO,,
17,17.14EQY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
17,17.15EDN_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
17,17.16EQY_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,,
19,19.1EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
19,19.2EQY_Y,Y,1X,NO,YES,,,,,,YES,ONLY ONE PP,
19,19.3EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
19,19.4EQN_Y,Y,1X,NO,YES,,,,,,YES,ONLY ONE PP,
19,19.5EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
19,19.6EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
19,19.7EDN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,,
19,19.8EDN_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
19,19.9EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
19,19.10EQY_Y,Y,1X,NO,YES,,,,,,YES,ONLY ONE PP,
19,19.11EDN_X,X,1X,NO,YES,YES,NONE,NONE,NO,,NO,,
19,19.12EDY_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO,,
19,19.13EDN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO,,
19,19.14EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES,,
19,19.15EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
19,19.16EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
21,21.16EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
21,21.15EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
21,21.14EQY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,,
21,21.13EDY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
21,21.12EDN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
21,21.11EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
21,21.10EQN_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
21,21.9EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
21,21.8EDY_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
21,21.7EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
21,21.6EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
21,21.5EQN_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
21,21.4EQY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,,
21,21.3EQN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
21,21.2EQN_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
21,21.1EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
2,2.1EQY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
2,2.2EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO,,
2,2.3EDY_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
2,2.4EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
2,2.5EDY_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
2,2.6EDN_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO,,
2,2.7EQN_Y,Y,1Y,YES,NO,NO,V,NONE,NO,,YES,,
2,2.8EQN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
2,2.9EQY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
2,2.10EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO,,
2,2.11EQN_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
2,2.12EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
2,2.13EQN_X,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
