STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
PP1,YES,11-1-2,TRUE,NO,OBJ,,PP1 > OBJ,1,YES,Y,FALSE,NO,11,1EDY,11.1EDY_Y,2,NO,PP1 > OBJ,1Y
PP1,NO,11-10-1,TRUE,NO,NONE,,PP1,10,YES,X,TRUE,NO,11,10EQY,11.10EQY_X,1,NO,PP1 ,1Y
PP1,NO,11-10-2,TRUE,NO,NONE,,PP1,10,YES,Y,TRUE,NO,11,10EQY,11.10EQY_Y,2,NO,PP1 ,1Y
PP1,YES,11-11-1,FALSE,NO,OBJ,,PP1 > OBJ,11,YES,X,FALSE,NO,11,11EDN,11.11EDN_X,1,NO,PP1 > OBJ,1Y
OBJ,YES,11-11-2,FALSE,NO,PP1,,OBJ > PP1,11,YES,Y,FALSE,NO,11,11EDN,11.11EDN_Y,2,NO,OBJ > PP1,1Y
OBJ,YES,11-15-1,TRUE,NO,PP1,,OBJ > PP1,15,YES,X,FALSE,NO,11,15EDY,11.15EDY_X,1,NO,OBJ > PP1,1Y
OBJ,YES,11-15-2,TRUE,NO,PP1,,OBJ > PP1,15,YES,Y,FALSE,NO,11,15EDY,11.15EDY_Y,2,NO,OBJ > PP1,1Y
V,NO,11-16-1,FALSE,YES,PP1,,PP1,16,YES,X,TRUE,YES,11,16EQN,11.16EQN_X,1,NO,V > PP1,1Y
PP1,NO,11-16-2,FALSE,NO,NONE,,PP1,16,YES,Y,TRUE,YES,11,16EQN,11.16EQN_Y,2,NO,PP1 ,1Y
PP1,NO,11-3-1,TRUE,NO,NONE,,PP1,3,YES,X,TRUE,YES,11,3EQY,11.3EQY_X,1,NO,PP1 ,1Y
PP1,YES,11-3-2,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,Y,TRUE,YES,11,3EQY,11.3EQY_Y,2,NO,PP1 > OBJ,1Y
OBJ,YES,11-4-1,FALSE,NO,PP1,,OBJ > PP1,4,YES,X,TRUE,YES,11,4EQN,11.4EQN_X,1,NO,OBJ > PP1,1Y
PP1,NO,11-4-2,FALSE,NO,NONE,,PP1,4,YES,Y,TRUE,YES,11,4EQN,11.4EQN_Y,2,NO,PP1 ,1Y
PP1,NO,11-5-1,TRUE,NO,NONE,,PP1,5,YES,X,TRUE,YES,11,5EQY,11.5EQY_X,1,NO,PP1 ,1Y
PP1,YES,11-5-2,TRUE,NO,OBJ,,PP1 > OBJ,5,YES,Y,TRUE,YES,11,5EQY,11.5EQY_Y,2,NO,PP1 > OBJ,1Y
NONE,YES,11-6-1,FALSE,NO,NONE,,OBJ PP1,6,YES,X,TRUE,YES,11,6EQN,11.6EQN_X,1,NO,OBJ PP1,1Y
