isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair
True,False,True,203,21,2618,203.21FDY
False,True,True,203,5,2062,203.5EQY
True,True,False,203,46,2404,203.46FQN
True,False,True,203,27,2451,203.27FDY
True,True,False,203,40,4397,203.40FQN
False,False,False,203,7,1898,203.7EDN
False,True,True,203,3,4611,203.3EQY
True,True,False,203,37,1261,203.37FQN
True,False,True,203,18,1484,203.18FDY
True,True,False,203,47,1618,203.47FQN
False,False,True,203,9,1785,203.9EDY
True,False,True,203,20,1938,203.20FDY
True,True,False,203,41,2374,203.41FQN
False,True,True,203,2,2192,203.2EQY
True,False,True,203,26,1435,203.26FDY
True,True,True,203,32,3180,203.32FQY
True,False,False,203,36,1727,203.36FDN
False,True,False,203,6,1631,203.6EQN
False,False,False,203,13,1855,203.13EDN
True,False,False,203,44,3900,203.44FDN
True,False,True,203,23,2900,203.23FDY
True,True,False,203,33,2328,203.33FQN
False,False,True,203,12,1615,203.12EDY
False,True,False,203,16,1745,203.16EQN
True,False,True,203,28,2191,203.28FDY
False,False,True,203,1,1664,203.1EDY
True,True,True,203,31,3273,203.31FQY
True,True,True,203,25,2699,203.25FQY
True,True,False,203,42,3521,203.42FQN
True,True,False,203,35,360,203.35FQN
False,False,False,203,8,2987,203.8EDN
True,True,False,203,38,2602,203.38FQN
True,True,False,203,48,1708,203.48FQN
True,False,False,203,45,1725,203.45FDN
True,False,True,203,22,1945,203.22FDY
True,False,True,203,17,3430,203.17FDY
False,False,False,203,11,2875,203.11EDN
False,False,True,203,15,1541,203.15EDY
True,True,False,203,43,1388,203.43FQN
True,True,False,203,39,1868,203.39FQN
True,False,True,203,29,2901,203.29FDY
True,False,True,203,24,1661,203.24FDY
False,True,False,203,4,1702,203.4EQN
True,True,True,203,30,2015,203.30FQY
True,False,False,203,34,1721,203.34FDN
False,True,True,205,4,15011,205.4EQY
False,True,True,205,16,7339,205.16EQY
False,False,False,205,12,8659,205.12EDN
True,False,True,205,27,16138,205.27FDY
True,True,False,205,40,10505,205.40FQN
True,True,False,205,37,9592,205.37FQN
True,False,True,205,21,5164,205.21FDY
True,True,False,205,46,10571,205.46FQN
True,False,True,205,19,6228,205.19FDY
False,False,True,205,8,12065,205.8EDY
False,False,False,205,1,6001,205.1EDN
True,True,False,205,41,11941,205.41FQN
True,False,True,205,26,12894,205.26FDY
True,True,True,205,32,7015,205.32FQY
True,False,False,205,36,13568,205.36FDN
True,True,False,205,47,15068,205.47FQN
True,False,True,205,20,14081,205.20FDY
False,False,False,205,15,12964,205.15EDN
True,False,True,205,18,5681,205.18FDY
False,False,True,205,11,7919,205.11EDY
True,False,True,205,28,10371,205.28FDY
True,True,True,205,31,10029,205.31FQY
True,True,False,205,42,17101,205.42FQN
True,True,True,205,25,9192,205.25FQY
True,True,False,205,38,9482,205.38FQN
True,True,False,205,35,16591,205.35FQN
False,True,False,205,10,6819,205.10EQN
False,True,True,205,6,11694,205.6EQY
False,True,True,205,14,11214,205.14EQY
False,True,False,205,2,7985,205.2EQN
False,False,False,205,9,9662,205.9EDN
True,False,True,205,23,11788,205.23FDY
True,False,False,205,44,11128,205.44FDN
True,True,False,205,33,12784,205.33FQN
True,True,False,205,43,8472,205.43FQN
True,True,False,205,39,21859,205.39FQN
True,False,True,205,24,6372,205.24FDY
True,False,True,205,29,9599,205.29FDY
True,True,True,205,30,13545,205.30FQY
True,False,False,205,34,6985,205.34FDN
False,False,True,205,7,18225,205.7EDY
False,True,False,205,3,7819,205.3EQN
False,True,False,205,5,7089,205.5EQN
True,False,True,205,17,10024,205.17FDY
False,False,True,205,13,8520,205.13EDY
True,True,False,205,48,9555,205.48FQN
True,False,True,205,22,12058,205.22FDY
True,False,False,205,45,6949,205.45FDN
True,False,False,20,33,7305,20.33FDN
True,True,True,20,23,10024,20.23FQY
True,True,False,20,44,10258,20.44FQN
True,False,False,20,38,9379,20.38FDN
True,False,False,20,35,11714,20.35FDN
True,False,False,20,42,6785,20.42FDN
True,False,True,20,25,11554,20.25FDY
True,False,True,20,31,8159,20.31FDY
True,True,True,20,28,8465,20.28FQY
False,False,True,20,14,8819,20.14EDY
False,False,True,20,4,10032,20.4EDY
False,False,False,20,10,11804,20.10EDN
False,True,True,20,13,8829,20.13EQY
True,True,True,20,17,11194,20.17FQY
True,True,True,20,22,11371,20.22FQY
True,True,False,20,45,11548,20.45FQN
True,False,False,20,48,10538,20.48FDN
True,False,True,20,30,9282,20.30FDY
True,True,False,20,34,9105,20.34FQN
True,True,True,20,24,7379,20.24FQY
True,True,True,20,29,10084,20.29FQY
True,False,False,20,39,7182,20.39FDN
True,False,False,20,43,6922,20.43FDN
False,True,False,20,1,11775,20.1EQN
False,True,True,20,8,9605,20.8EQY
True,False,False,20,46,13764,20.46FDN
True,True,True,20,21,9012,20.21FQY
True,True,True,20,19,6055,20.19FQY
False,True,False,20,9,10744,20.9EQN
False,False,False,20,2,10369,20.2EDN
False,False,True,20,16,9302,20.16EDY
False,True,False,20,12,13911,20.12EQN
False,False,True,20,6,8362,20.6EDY
True,False,False,20,37,10781,20.37FDN
True,False,False,20,40,10775,20.40FDN
True,True,True,20,27,12134,20.27FQY
True,True,True,20,20,8096,20.20FQY
True,False,False,20,47,10641,20.47FDN
False,True,True,20,11,11128,20.11EQY
True,True,True,20,18,14981,20.18FQY
False,True,False,20,15,12227,20.15EQN
False,False,False,20,5,7455,20.5EDN
False,False,False,20,3,9865,20.3EDN
False,True,True,20,7,10491,20.7EQY
True,False,True,20,32,10489,20.32FDY
True,True,False,20,36,9602,20.36FQN
True,True,True,20,26,719,20.26FQY
True,False,False,20,41,9155,20.41FDN
True,False,True,9,22,4945,9.22FDY
True,False,False,9,45,5595,9.45FDN
True,True,False,9,48,8493,9.48FQN
False,False,True,9,13,7513,9.13EDY
True,False,True,9,17,5668,9.17FDY
False,False,True,9,8,5648,9.8EDY
False,False,False,9,1,6042,9.1EDN
True,True,True,9,30,5724,9.30FQY
True,False,False,9,34,7139,9.34FDN
True,False,True,9,24,6621,9.24FDY
True,False,True,9,29,6015,9.29FDY
True,True,False,9,39,3420,9.39FQN
True,True,False,9,43,7065,9.43FQN
True,True,False,9,33,7085,9.33FQN
True,False,True,9,23,5278,9.23FDY
True,False,False,9,44,4289,9.44FDN
False,True,True,9,4,6665,9.4EQY
False,True,True,9,14,11970,9.14EQY
False,True,False,9,10,5760,9.10EQN
True,True,False,9,38,5905,9.38FQN
True,True,False,9,35,7492,9.35FQN
True,True,False,9,42,15424,9.42FQN
True,True,True,9,25,6342,9.25FQY
True,True,True,9,31,7489,9.31FQY
True,False,True,9,28,5994,9.28FDY
False,False,True,9,11,6511,9.11EDY
False,True,False,9,5,5738,9.5EQN
True,False,True,9,18,5775,9.18FDY
False,False,False,9,15,6718,9.15EDN
True,False,True,9,20,2760,9.20FDY
True,True,False,9,47,6231,9.47FQN
True,True,True,9,32,9449,9.32FQY
True,False,False,9,36,3921,9.36FDN
True,False,True,9,26,6352,9.26FDY
True,True,False,9,41,6562,9.41FQN
False,True,False,9,3,6499,9.3EQN
False,False,True,9,7,6285,9.7EDY
False,False,False,9,9,5458,9.9EDN
True,False,True,9,19,5634,9.19FDY
True,True,False,9,46,6579,9.46FQN
True,False,True,9,21,4619,9.21FDY
True,True,False,9,37,7409,9.37FQN
True,True,False,9,40,2219,9.40FQN
True,False,True,9,27,6415,9.27FDY
False,True,True,9,6,3839,9.6EQY
False,True,True,9,16,5691,9.16EQY
False,False,False,9,12,6028,9.12EDN
False,True,False,9,2,3689,9.2EQN
True,False,False,11,44,4488,11.44FDN
True,False,True,11,23,4565,11.23FDY
False,True,False,11,16,3869,11.16EQN
False,True,True,11,5,23313,11.5EQY
False,False,False,11,7,11888,11.7EDN
False,True,True,11,3,5148,11.3EQY
True,True,True,11,31,7559,11.31FQY
True,False,True,11,28,4621,11.28FDY
True,True,False,11,35,5244,11.35FQN
True,True,True,11,25,20519,11.25FQY
True,True,False,11,42,3899,11.42FQN
True,True,False,11,48,5685,11.48FQN
True,False,False,11,45,16038,11.45FDN
True,False,True,11,17,5028,11.17FDY
False,True,False,11,6,4482,11.6EQN
False,False,False,11,11,8569,11.11EDN
False,False,True,11,15,10794,11.15EDY
True,True,False,11,39,5461,11.39FQN
True,True,False,11,43,20455,11.43FQN
True,True,True,11,30,10697,11.30FQY
True,False,False,11,34,6045,11.34FDN
True,False,True,11,29,4935,11.29FDY
True,False,True,11,24,16203,11.24FDY
True,False,True,11,19,8266,11.19FDY
False,True,True,11,10,7406,11.10EQY
True,False,True,11,21,-240,11.21FDY
True,True,False,11,37,5201,11.37FQN
False,False,False,11,8,5118,11.8EDN
False,False,True,11,1,7056,11.1EDY
True,False,True,11,27,1202,11.27FDY
True,False,True,11,18,5482,11.18FDY
True,True,False,11,47,7753,11.47FQN
True,True,False,11,41,2999,11.41FQN
True,True,True,11,32,10428,11.32FQY
True,False,False,11,36,31649,11.36FDN
False,True,False,11,4,4911,11.4EQN
True,True,False,7,41,1859,7.41FQN
True,False,False,7,36,4139,7.36FDN
True,True,True,7,32,5940,7.32FQY
True,False,True,7,26,8294,7.26FDY
False,False,False,7,13,6185,7.13EDN
False,True,False,7,4,6098,7.4EQN
True,False,True,7,18,5428,7.18FDY
True,True,False,7,47,5057,7.47FQN
True,False,True,7,20,5880,7.20FDY
True,False,True,7,27,5564,7.27FDY
True,True,False,7,37,5071,7.37FQN
True,True,False,7,40,9659,7.40FQN
False,False,True,7,1,4847,7.1EDY
False,True,False,7,14,6342,7.14EQN
True,False,True,7,19,3667,7.19FDY
False,True,True,7,10,4714,7.10EQY
False,False,False,7,8,3744,7.8EDN
True,False,True,7,21,3661,7.21FDY
True,True,False,7,46,6779,7.46FQN
False,False,False,7,11,4411,7.11EDN
False,False,True,7,9,7832,7.9EDY
False,False,True,7,15,5664,7.15EDY
True,True,False,7,39,6017,7.39FQN
True,True,False,7,43,5124,7.43FQN
True,False,False,7,34,4169,7.34FDN
True,True,True,7,30,5338,7.30FQY
True,False,True,7,29,4761,7.29FDY
True,False,True,7,24,4967,7.24FDY
True,True,False,7,48,7379,7.48FQN
True,False,False,7,45,4680,7.45FDN
True,False,True,7,22,7019,7.22FDY
False,True,True,7,2,10829,7.2EQY
False,True,False,7,6,5104,7.6EQN
True,False,True,7,17,6094,7.17FDY
False,True,True,7,5,5508,7.5EQY
True,True,True,7,31,5451,7.31FQY
True,False,True,7,28,5972,7.28FDY
True,True,False,7,35,8188,7.35FQN
True,True,False,7,38,4020,7.38FQN
True,True,True,7,25,8595,7.25FQY
True,True,False,7,42,6435,7.42FQN
True,False,False,7,44,8641,7.44FDN
True,False,True,7,23,4751,7.23FDY
True,True,False,7,33,6215,7.33FQN
False,True,False,7,16,6692,7.16EQN
False,False,True,7,12,4691,7.12EDY
False,True,True,7,3,8646,7.3EQY
False,False,False,7,7,4901,7.7EDN
True,False,False,16,33,13005,16.33FDN
True,True,True,16,23,8039,16.23FQY
True,True,False,16,44,12298,16.44FQN
False,True,False,16,9,8396,16.9EQN
False,False,True,16,14,7855,16.14EDY
False,False,True,16,6,8649,16.6EDY
False,False,False,16,10,20938,16.10EDN
False,False,False,16,2,11085,16.2EDN
True,False,False,16,42,10608,16.42FDN
True,False,True,16,25,19115,16.25FDY
True,False,False,16,38,10743,16.38FDN
True,False,False,16,35,9609,16.35FDN
True,True,True,16,28,10951,16.28FQY
True,False,True,16,31,9901,16.31FDY
True,True,True,16,22,11725,16.22FQY
True,True,False,16,45,9984,16.45FQN
True,False,False,16,48,10938,16.48FDN
False,False,False,16,5,8916,16.5EDN
True,True,True,16,17,8069,16.17FQY
False,True,True,16,13,13788,16.13EQY
False,True,True,16,7,13915,16.7EQY
False,False,False,16,3,12035,16.3EDN
True,True,True,16,24,15234,16.24FQY
True,True,True,16,29,11745,16.29FQY
True,True,False,16,34,18622,16.34FQN
True,False,True,16,30,13215,16.30FDY
True,False,False,16,43,7932,16.43FDN
True,False,False,16,39,8065,16.39FDN
True,True,True,16,19,8829,16.19FQY
True,False,False,16,46,8850,16.46FDN
True,True,True,16,21,13518,16.21FQY
True,False,False,16,40,8899,16.40FDN
True,False,False,16,37,9576,16.37FDN
True,True,True,16,27,11721,16.27FQY
False,True,False,16,12,9219,16.12EQN
False,False,True,16,16,12501,16.16EDY
False,False,True,16,4,10136,16.4EDY
True,True,True,16,18,13171,16.18FQY
False,True,True,16,11,13704,16.11EQY
False,True,False,16,15,9622,16.15EQN
True,True,True,16,20,12081,16.20FQY
True,False,False,16,47,9635,16.47FDN
True,True,True,16,26,12042,16.26FQY
True,True,False,16,36,14951,16.36FQN
True,False,True,16,32,9002,16.32FDY
True,False,False,16,41,15628,16.41FDN
False,True,True,16,8,19305,16.8EQY
False,True,False,16,1,13231,16.1EQN
True,True,True,6,20,11159,6.20FQY
False,False,False,6,6,15375,6.6EDN
True,False,False,6,47,11128,6.47FDN
False,False,True,6,2,13125,6.2EDY
True,True,True,6,18,15034,6.18FQY
False,True,False,6,13,13614,6.13EQN
False,True,True,6,9,20322,6.9EQY
True,True,True,6,26,11465,6.26FQY
True,False,True,6,32,7206,6.32FDY
True,True,False,6,36,16391,6.36FQN
True,False,False,6,41,12618,6.41FDN
True,False,False,6,46,14401,6.46FDN
False,False,True,6,3,6425,6.3EDY
False,True,False,6,7,269,6.7EQN
True,True,True,6,21,13518,6.21FQY
False,False,True,6,10,12659,6.10EDY
True,True,True,6,19,10531,6.19FQY
False,False,False,6,14,8249,6.14EDN
True,False,False,6,40,13318,6.40FDN
False,False,True,6,5,10082,6.5EDY
True,False,False,6,37,12312,6.37FDN
True,True,True,6,27,10741,6.27FQY
True,True,True,6,17,9766,6.17FQY
True,True,False,6,45,24922,6.45FQN
False,False,False,6,4,13109,6.4EDN
True,True,True,6,22,11385,6.22FQY
True,False,False,6,48,14385,6.48FDN
True,True,True,6,29,10139,6.29FQY
True,True,True,6,24,12421,6.24FQY
True,False,True,6,30,11148,6.30FDY
True,True,False,6,34,9929,6.34FQN
True,False,False,6,43,9989,6.43FDN
True,False,False,6,39,6939,6.39FDN
False,True,True,6,15,-1380,6.15EQY
False,True,False,6,11,14045,6.11EQN
False,True,True,6,12,15461,6.12EQY
False,False,False,6,16,13118,6.16EDN
True,False,False,6,33,6090,6.33FDN
False,True,False,6,8,10568,6.8EQN
False,True,True,6,1,13801,6.1EQY
True,True,False,6,44,11992,6.44FQN
True,True,True,6,23,13971,6.23FQY
True,False,True,6,25,15358,6.25FDY
True,False,False,6,42,10620,6.42FDN
True,False,False,6,35,6121,6.35FDN
True,False,False,6,38,10259,6.38FDN
True,True,True,6,28,18868,6.28FQY
True,False,True,6,31,12444,6.31FDY
True,True,True,17,31,1423,17.31FQY
True,False,True,17,28,5058,17.28FDY
True,True,False,17,38,3593,17.38FQN
False,True,True,17,4,2819,17.4EQY
True,True,False,17,35,5501,17.35FQN
True,True,False,17,42,660,17.42FQN
True,True,True,17,25,8039,17.25FQY
False,True,False,17,10,9566,17.10EQN
False,True,True,17,14,3738,17.14EQY
True,False,True,17,23,5771,17.23FDY
True,False,False,17,44,5205,17.44FDN
True,True,False,17,33,7201,17.33FQN
True,True,False,17,39,8496,17.39FQN
False,False,False,17,1,7229,17.1EDN
True,True,False,17,43,8326,17.43FQN
True,True,True,17,30,10739,17.30FQY
True,False,False,17,34,9836,17.34FDN
False,False,True,17,8,8190,17.8EDY
True,False,True,17,24,8783,17.24FDY
True,False,True,17,29,4914,17.29FDY
False,False,True,17,13,5424,17.13EDY
True,False,True,17,17,6008,17.17FDY
True,True,False,17,48,11724,17.48FQN
True,False,True,17,22,3720,17.22FDY
True,False,False,17,45,7752,17.45FDN
False,True,True,17,16,7770,17.16EQY
False,False,False,17,12,2178,17.12EDN
False,True,False,17,2,3376,17.2EQN
True,False,True,17,27,3860,17.27FDY
False,True,True,17,6,5908,17.6EQY
True,True,False,17,37,3871,17.37FQN
True,True,False,17,40,7476,17.40FQN
True,False,True,17,21,6239,17.21FDY
True,True,False,17,46,1396,17.46FQN
False,False,False,17,9,3431,17.9EDN
True,False,True,17,19,5771,17.19FDY
True,True,False,17,41,2759,17.41FQN
False,False,True,17,7,9599,17.7EDY
True,True,True,17,32,6390,17.32FQY
True,False,False,17,36,6888,17.36FDN
False,True,False,17,3,5610,17.3EQN
True,False,True,17,26,2519,17.26FDY
True,True,False,17,47,3300,17.47FQN
True,False,True,17,20,7165,17.20FDY
False,True,False,17,5,8908,17.5EQN
False,False,False,17,15,2699,17.15EDN
False,False,True,17,11,2429,17.11EDY
True,False,True,17,18,10139,17.18FDY
False,True,False,1,3,3523,1.3EQN
False,False,True,1,7,1905,1.7EDY
True,True,False,1,47,3231,1.47FQN
True,False,True,1,20,2011,1.20FDY
False,False,False,1,15,1749,1.15EDN
False,False,True,1,11,1869,1.11EDY
True,False,True,1,18,2226,1.18FDY
False,True,False,1,5,1672,1.5EQN
True,True,False,1,41,2819,1.41FQN
True,False,False,1,36,1839,1.36FDN
True,True,True,1,32,3918,1.32FQY
True,False,True,1,26,1701,1.26FDY
False,True,True,1,6,1752,1.6EQY
True,False,True,1,21,2934,1.21FDY
False,True,False,1,2,2059,1.2EQN
True,True,False,1,46,1765,1.46FQN
True,False,True,1,19,2245,1.19FDY
False,False,False,1,12,2099,1.12EDN
False,True,True,1,16,1442,1.16EQY
False,False,False,1,9,1560,1.9EDN
True,False,True,1,27,3324,1.27FDY
True,True,False,1,37,1859,1.37FQN
True,True,False,1,40,1320,1.40FQN
False,False,True,1,13,2089,1.13EDY
True,False,True,1,17,3624,1.17FDY
False,False,True,1,8,1620,1.8EDY
True,True,False,1,48,1445,1.48FQN
True,False,True,1,22,2089,1.22FDY
False,False,False,1,1,1611,1.1EDN
True,False,False,1,45,1215,1.45FDN
True,True,False,1,39,2415,1.39FQN
True,True,False,1,43,1582,1.43FQN
True,False,False,1,34,2035,1.34FDN
True,True,True,1,30,1662,1.30FQY
True,False,True,1,24,1819,1.24FDY
True,False,True,1,29,4367,1.29FDY
False,True,True,1,4,3025,1.4EQY
True,False,True,1,23,2349,1.23FDY
True,False,False,1,44,1979,1.44FDN
True,True,False,1,33,3042,1.33FQN
True,True,True,1,31,1769,1.31FQY
True,False,True,1,28,2005,1.28FDY
True,True,False,1,38,6625,1.38FQN
True,True,False,1,35,3276,1.35FQN
True,True,False,1,42,930,1.42FQN
True,True,True,1,25,-360,1.25FQY
False,True,False,1,10,2049,1.10EQN
False,True,True,1,14,3054,1.14EQY
True,False,True,10,25,8825,10.25FDY
True,False,False,10,42,7589,10.42FDN
True,False,False,10,35,8003,10.35FDN
False,True,True,10,1,8978,10.1EQY
True,False,False,10,38,9476,10.38FDN
True,True,True,10,28,9379,10.28FQY
True,False,True,10,31,8206,10.31FDY
False,True,False,10,8,6939,10.8EQN
False,False,False,10,16,9729,10.16EDN
False,True,True,10,12,9559,10.12EQY
True,False,False,10,33,5971,10.33FDN
True,True,False,10,44,6719,10.44FQN
True,True,True,10,23,9019,10.23FQY
True,True,True,10,29,8652,10.29FQY
True,True,True,10,24,9456,10.24FQY
True,True,False,10,34,11836,10.34FQN
True,False,True,10,30,9913,10.30FDY
True,False,False,10,43,9502,10.43FDN
True,False,False,10,39,6819,10.39FDN
False,False,False,10,4,9689,10.4EDN
False,True,True,10,15,10382,10.15EQY
False,True,False,10,11,8229,10.11EQN
True,True,True,10,17,8633,10.17FQY
True,True,False,10,45,12352,10.45FQN
True,True,True,10,22,10435,10.22FQY
True,False,False,10,48,11210,10.48FDN
True,False,False,10,40,11058,10.40FDN
True,False,False,10,37,8472,10.37FDN
True,True,True,10,27,7839,10.27FQY
False,True,False,10,7,10532,10.7EQN
False,False,True,10,3,8055,10.3EDY
True,False,False,10,46,6240,10.46FDN
False,False,True,10,5,10444,10.5EDY
True,True,True,10,21,7199,10.21FQY
False,False,True,10,10,9703,10.10EDY
True,True,True,10,19,8723,10.19FQY
False,False,False,10,14,8173,10.14EDN
False,True,False,10,13,9326,10.13EQN
True,True,True,10,26,8176,10.26FQY
True,True,False,10,36,7239,10.36FQN
True,False,True,10,32,7469,10.32FDY
False,False,True,10,2,9399,10.2EDY
True,False,False,10,41,7219,10.41FDN
False,False,False,10,6,8429,10.6EDN
True,True,True,10,20,8159,10.20FQY
False,True,True,10,9,9689,10.9EQY
True,False,False,10,47,7696,10.47FDN
True,True,True,10,18,10273,10.18FQY
True,True,False,19,46,11321,19.46FQN
False,False,False,19,8,1446,19.8EDN
True,False,True,19,21,22686,19.21FDY
False,False,True,19,1,23056,19.1EDY
False,True,True,19,10,35792,19.10EQY
False,True,False,19,14,15868,19.14EQN
True,False,True,19,19,15998,19.19FDY
True,True,False,19,37,11585,19.37FQN
True,True,False,19,40,19494,19.40FQN
True,False,True,19,27,17196,19.27FDY
True,False,True,19,20,19604,19.20FDY
False,True,False,19,4,23415,19.4EQN
True,True,False,19,47,14628,19.47FQN
True,False,True,19,18,9758,19.18FDY
False,False,False,19,13,13222,19.13EDN
True,False,False,19,36,8906,19.36FDN
True,True,True,19,32,10329,19.32FQY
True,False,True,19,26,28642,19.26FDY
True,True,False,19,41,12982,19.41FQN
False,True,False,19,16,17808,19.16EQN
False,False,True,19,12,7972,19.12EDY
False,False,False,19,7,14688,19.7EDN
False,True,True,19,3,13932,19.3EQY
True,True,False,19,33,19088,19.33FQN
True,False,False,19,44,11790,19.44FDN
True,False,True,19,23,9969,19.23FDY
True,True,False,19,35,1199,19.35FQN
True,True,False,19,38,-210,19.38FQN
True,True,True,19,25,17314,19.25FQY
True,True,False,19,42,21054,19.42FQN
False,True,True,19,5,31555,19.5EQY
True,True,True,19,31,30992,19.31FQY
True,False,True,19,28,8939,19.28FDY
True,False,True,19,17,9838,19.17FDY
False,True,False,19,6,9682,19.6EQN
True,False,False,19,45,12681,19.45FDN
True,False,True,19,22,12835,19.22FDY
True,True,False,19,48,20340,19.48FQN
False,True,True,19,2,17578,19.2EQY
True,False,False,19,34,24515,19.34FDN
True,True,True,19,30,22369,19.30FQY
True,False,True,19,29,22832,19.29FDY
True,False,True,19,24,20651,19.24FDY
False,False,True,19,9,19566,19.9EDY
True,True,False,19,39,16102,19.39FQN
True,True,False,19,43,15478,19.43FQN
False,False,True,19,15,11545,19.15EDY
False,False,False,19,11,2672,19.11EDN
True,False,False,8,43,4886,8.43FDN
True,False,False,8,39,0,8.39FDN
True,True,True,8,24,25769,8.24FQY
True,True,True,8,29,4019,8.29FQY
True,True,False,8,34,2835,8.34FQN
False,False,False,8,3,7558,8.3EDN
False,True,True,8,7,3839,8.7EQY
True,False,True,8,30,5179,8.30FDY
True,True,True,8,17,10566,8.17FQY
False,True,True,8,13,0,8.13EQY
True,False,False,8,48,0,8.48FDN
False,False,False,8,5,0,8.5EDN
True,True,True,8,22,7860,8.22FQY
True,True,False,8,45,271,8.45FQN
True,True,True,8,28,0,8.28FQY
True,False,True,8,31,2130,8.31FDY
False,False,False,8,2,2843,8.2EDN
True,False,False,8,42,10400,8.42FDN
True,False,True,8,25,2220,8.25FDY
True,False,False,8,38,4543,8.38FDN
True,False,False,8,35,7768,8.35FDN
False,False,True,8,6,3105,8.6EDY
False,False,False,8,10,2520,8.10EDN
False,False,True,8,14,2969,8.14EDY
True,True,True,8,23,4799,8.23FQY
True,True,False,8,44,7710,8.44FQN
False,True,False,8,9,4010,8.9EQN
True,False,False,8,33,0,8.33FDN
True,False,False,8,41,20970,8.41FDN
False,True,False,8,1,0,8.1EQN
True,True,True,8,26,2519,8.26FQY
False,True,True,8,8,3209,8.8EQY
True,True,False,8,36,2309,8.36FQN
True,False,True,8,32,7860,8.32FDY
True,False,False,8,47,615,8.47FDN
True,True,True,8,20,2579,8.20FQY
False,True,False,8,15,7305,8.15EQN
