isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
True,True,False,204,34,2728.94,204.34FQN,7920.0,2010.0,10657.6,4020.0,5668.94,718.94
True,False,True,204,30,3622.31,204.30FDY,7440.0,2400.0,10770.98,3870.0,5782.31,1222.31
True,True,True,204,24,3265.83,204.24FQY,7530.0,1470.0,10884.35,3810.0,6235.83,1795.83
True,True,True,204,29,5548.94,204.29FQY,6090.0,5220.0,11337.88,4410.0,5668.94,328.94
True,False,False,204,39,1865.56,204.39FDN,6390.0,900.0,8390.02,3630.0,5555.56,965.56
False,True,True,204,8,982.73,204.8EQY,7770.0,960.0,8730.17,5700.0,6802.73,22.73
True,False,False,204,43,3032.04,204.43FDN,6210.0,2310.0,9863.94,3600.0,5102.04,722.04
True,False,True,203,19,2101.23,203.19FDY,2640.0,2100.0,4761.9,2430.0,3061.23,1.23
False,True,False,203,14,2621.35,203.14EQN,2970.0,2460.0,5555.56,2580.0,3401.35,161.35
False,True,True,203,10,2914.73,203.10EQY,3210.0,2880.0,6575.96,2790.0,3514.73,34.73
True,False,True,203,21,2138.25,203.21FDY,4080.0,900.0,4988.67,2160.0,3968.25,1238.25
False,True,True,203,5,1191.5,203.5EQY,3870.0,1170.0,5102.04,2430.0,3741.5,21.5
True,True,False,203,46,2374.73,203.46FQN,3150.0,2370.0,6009.06,2640.0,3514.73,4.73
True,False,True,203,27,2421.5,203.27FDY,3030.0,2400.0,5442.17,3210.0,3741.5,21.5
True,True,False,203,40,4367.98,203.40FQN,3450.0,4350.0,8163.27,2490.0,3287.98,17.98
False,False,False,203,7,847.85,203.7EDN,4620.0,690.0,5328.79,2130.0,2947.85,157.85
False,True,True,203,3,3651.5,203.3EQY,4680.0,3630.0,8616.77,2610.0,3741.5,21.5
True,True,False,203,37,1291.23,203.37FQN,2550.0,1290.0,3854.88,2130.0,3061.23,1.23
False,False,True,203,9,2475.29,203.9EDY,3180.0,2250.0,5442.17,3870.0,4875.29,225.29
True,False,True,203,20,1817.98,203.20FDY,3180.0,1680.0,4988.67,2520.0,3287.98,137.98
True,False,True,203,18,1500.0,203.18FDY,3360.0,1500.0,4875.29,,,
True,True,False,203,47,1530.0,203.47FQN,2640.0,1530.0,4195.02,,,
True,True,False,203,41,2344.73,203.41FQN,3540.0,2340.0,5895.69,2580.0,3514.73,4.73
False,True,True,203,2,2131.62,203.2EQY,3630.0,2130.0,5895.69,3360.0,4081.62,1.62
True,False,True,203,26,1405.02,203.26FDY,3990.0,1380.0,5442.17,3060.0,4195.02,25.02
True,True,True,203,32,2131.23,203.32FQY,2700.0,2130.0,7483.0,2310.0,3061.23,1.23
True,False,False,203,36,900.0,203.36FDN,3630.0,900.0,4535.15,,,
False,True,False,203,6,731.35,203.6EQN,4170.0,630.0,4988.67,2670.0,3401.35,101.35
False,False,False,203,13,1255.02,203.13EDN,4110.0,750.0,4875.29,2340.0,4195.02,505.02
True,False,False,203,44,4678.52,203.44FDN,4140.0,4260.0,8616.77,3570.0,4648.52,418.52
True,False,True,203,23,2091.08,203.23FDY,3630.0,2010.0,5668.94,2100.0,2721.08,81.08
True,True,False,203,33,2268.4,203.33FQN,3390.0,2250.0,5668.94,3510.0,4308.4,18.4
False,False,True,203,12,1554.6,203.12EDY,3600.0,1530.0,5442.17,2310.0,3174.6,24.6
False,True,False,203,16,1684.73,203.16EQN,2370.0,1680.0,4308.4,3090.0,3514.73,4.73
True,False,True,203,28,2161.23,203.28FDY,3840.0,2160.0,6009.06,2190.0,3061.23,1.23
False,False,True,203,1,1604.46,203.1EDY,3060.0,1590.0,4988.67,2190.0,2834.46,14.46
True,True,True,203,31,3210.0,203.31FQY,3360.0,3210.0,6575.96,,,
True,True,True,203,25,2308.52,203.25FQY,2580.0,1500.0,4081.62,3150.0,4648.52,808.52
True,True,False,203,42,4601.77,203.42FQN,3630.0,4440.0,8390.02,3270.0,4421.77,161.77
True,True,False,203,35,2177.98,203.35FQN,4290.0,2160.0,6462.58,2520.0,3287.98,17.98
False,False,False,203,8,1997.98,203.8EDN,4230.0,1980.0,6235.83,2580.0,3287.98,17.98
True,True,False,203,38,2571.9,203.38FQN,3420.0,1800.0,5328.79,2880.0,4761.9,771.9
True,True,False,203,48,1678.12,203.48FQN,3120.0,1650.0,4988.67,2880.0,3628.12,28.12
True,False,False,203,45,1994.88,203.45FDN,3090.0,1650.0,4761.9,2760.0,3854.88,344.88
True,False,True,203,22,1944.6,203.22FDY,3180.0,1920.0,5102.04,2340.0,3174.6,24.6
True,False,True,203,17,3821.35,203.17FDY,4860.0,3810.0,8730.17,2370.0,3401.35,11.35
False,False,False,203,11,1915.02,203.11EDN,3300.0,1500.0,6462.58,3240.0,4195.02,415.02
False,False,True,203,15,1811.35,203.15EDY,2970.0,1470.0,4648.52,2460.0,3401.35,341.35
True,True,False,203,43,1357.85,203.43FQN,3510.0,1350.0,5215.42,2250.0,2947.85,7.85
True,True,False,203,39,1837.85,203.39FQN,2970.0,1830.0,5102.04,2160.0,2947.85,7.85
True,False,True,203,29,2001.9,203.29FDY,5400.0,930.0,6349.21,3210.0,4761.9,1071.9
True,False,True,203,24,1601.35,203.24FDY,2550.0,1590.0,4195.02,2580.0,3401.35,11.35
False,True,False,203,4,1701.5,203.4EQN,3300.0,1680.0,6235.83,2760.0,3741.5,21.5
True,True,True,203,30,1024.73,203.30FQY,4470.0,1020.0,5668.94,2580.0,3514.73,4.73
True,False,False,203,34,1691.35,203.34FDN,3870.0,1680.0,5782.31,2520.0,3401.35,11.35
False,True,True,205,4,14982.17,205.4EQY,3810.0,13830.0,18707.48,3570.0,5442.17,1152.17
False,True,True,205,16,7368.79,205.16EQY,3750.0,5730.0,9863.94,3060.0,5328.79,1638.79
False,False,False,205,12,8658.79,205.12EDN,3630.0,7380.0,11678.0,3510.0,5328.79,1278.79
True,False,True,205,27,16078.52,205.27FDY,3450.0,15390.0,19387.75,3420.0,4648.52,688.52
True,True,False,205,40,10505.56,205.40FQN,4260.0,9480.0,14739.23,4020.0,5555.56,1025.56
True,True,False,205,37,9531.9,205.37FQN,3330.0,8430.0,12811.79,3090.0,4761.9,1101.9
True,False,True,205,21,5135.15,205.21FDY,3570.0,4440.0,8843.54,3330.0,4535.15,695.15
True,True,False,205,46,10571.77,205.46FQN,4080.0,9990.0,15192.75,3240.0,4421.77,581.77
True,False,True,205,19,1188.4,205.19FDY,2070.0,600.0,8616.77,2850.0,4308.4,588.4
False,False,True,205,8,12095.56,205.8EDY,4290.0,10020.0,15192.75,2970.0,5555.56,2075.56
False,False,False,205,1,5732.04,205.1EDN,3540.0,5190.0,9183.67,3750.0,5102.04,542.04
True,True,False,205,41,12002.04,205.41FQN,3480.0,10650.0,15646.25,3210.0,5102.04,1352.04
True,False,True,205,26,12955.42,205.26FDY,3870.0,11730.0,16893.42,3210.0,5215.42,1225.42
True,True,True,205,32,2035.42,205.32FQY,2310.0,630.0,9863.94,3030.0,5215.42,1405.42
True,False,False,205,36,13538.67,205.36FDN,3000.0,12780.0,16213.15,3570.0,4988.67,758.67
True,True,False,205,47,1928.67,205.47FQN,2730.0,690.0,18140.58,3150.0,4988.67,1238.67
True,False,True,205,20,14112.17,205.20FDY,4380.0,13050.0,18707.48,3630.0,5442.17,1062.17
False,False,False,205,15,1625.15,205.15EDN,4200.0,750.0,15986.4,3030.0,4535.15,875.15
True,False,True,205,18,2412.17,205.18FDY,6870.0,1770.0,9297.06,3750.0,5442.17,642.17
False,False,True,205,11,7888.52,205.11EDY,4170.0,6690.0,11111.1,2940.0,4648.52,1198.52
True,False,True,205,28,1161.9,205.28FDY,2940.0,690.0,13945.58,3570.0,4761.9,471.9
True,True,True,205,31,10119.06,205.31FQY,3930.0,8970.0,13605.44,3480.0,6009.06,1149.06
True,True,False,205,42,17042.04,205.42FQN,3600.0,16260.0,21088.44,3570.0,5102.04,782.04
True,True,True,205,25,9162.17,205.25FQY,3720.0,8190.0,12925.17,3630.0,5442.17,972.17
True,True,False,205,38,1922.04,205.38FQN,2070.0,780.0,14172.33,3390.0,5102.04,1142.04
True,True,False,205,35,16592.04,205.35FQN,2730.0,15150.0,19501.12,3000.0,5102.04,1442.04
False,True,False,205,10,6818.67,205.10EQN,3840.0,5880.0,10657.6,3300.0,4988.67,938.67
False,True,True,205,6,11725.42,205.6EQY,3570.0,10620.0,15079.38,3480.0,5215.42,1105.42
False,True,True,205,14,11245.42,205.14EQY,4170.0,9930.0,15532.88,3300.0,5215.42,1315.42
False,True,False,205,2,6935.15,205.2EQN,4590.0,6450.0,11678.0,3450.0,4535.15,485.15
False,False,False,205,9,6152.04,205.9EDN,6120.0,5370.0,12698.42,3300.0,5102.04,782.04
True,False,True,205,23,1438.52,205.23FDY,4380.0,690.0,15419.5,3210.0,4648.52,748.52
True,False,False,205,44,11068.94,205.44FDN,3060.0,9990.0,14058.96,3600.0,5668.94,1078.94
True,True,False,205,33,12455.15,205.33FQN,3270.0,11820.0,16326.52,3360.0,4535.15,635.15
True,True,False,205,43,3912.17,205.43FQN,7290.0,2280.0,11678.0,2880.0,5442.17,1632.17
True,True,False,205,39,2508.79,205.39FQN,5700.0,1050.0,24376.42,2970.0,5328.79,1458.79
True,False,True,205,24,1931.77,205.24FDY,7260.0,1230.0,9410.44,3120.0,4421.77,701.77
True,False,True,205,29,12009.06,205.29FDY,3870.0,9990.0,14739.23,3480.0,6009.06,2019.06
True,True,True,205,30,13425.69,205.30FQY,3750.0,12000.0,16213.15,3600.0,5895.69,1425.69
True,False,False,205,34,2545.42,205.34FDN,7830.0,1740.0,11791.38,3630.0,5215.42,805.42
False,False,True,205,7,18225.69,205.7EDY,3870.0,17010.0,21541.96,3750.0,5895.69,1215.69
False,True,False,205,3,4338.79,205.3EQN,6930.0,2940.0,11111.1,3420.0,5328.79,1398.79
False,True,False,205,5,4478.67,205.5EQN,5670.0,3210.0,9750.56,3090.0,4988.67,1268.67
True,False,True,205,17,3635.15,205.17FDY,9870.0,3180.0,13151.94,3600.0,4535.15,455.15
False,False,True,205,13,9492.17,205.13EDY,4620.0,8730.0,14058.96,4050.0,5442.17,762.17
True,True,False,205,48,9615.29,205.48FQN,3780.0,8940.0,13605.44,3540.0,4875.29,675.29
True,False,True,205,22,11998.52,205.22FDY,3090.0,11340.0,14965.98,3420.0,4648.52,658.52
True,False,False,205,45,2688.79,205.45FDN,7890.0,1470.0,10430.83,3450.0,5328.79,1218.79
True,False,False,20,33,7215.29,20.33FDN,2820.0,5940.0,11337.88,2940.0,4875.29,1275.29
True,True,True,20,23,9965.15,20.23FQY,3420.0,9090.0,14739.23,3120.0,4535.15,875.15
True,True,False,20,44,10288.52,20.44FQN,3570.0,9570.0,14965.98,3240.0,4648.52,718.52
True,False,False,20,38,9408.79,20.38FDN,3180.0,8070.0,13038.54,3270.0,5328.79,1338.79
True,False,False,20,35,12014.88,20.35FDN,3030.0,11670.0,16326.52,2670.0,3854.88,344.88
True,False,False,20,42,6755.15,20.42FDN,3300.0,6360.0,11564.62,3420.0,4535.15,395.15
True,False,True,20,25,11495.15,20.25FDY,3900.0,11010.0,16326.52,3600.0,4535.15,485.15
True,False,True,20,31,8098.94,20.31FDY,3810.0,6630.0,13378.69,3150.0,5668.94,1468.94
True,True,True,20,28,8465.15,20.28FQY,3360.0,8070.0,13832.21,3480.0,4535.15,395.15
False,False,True,20,14,8788.94,20.14EDY,3540.0,7290.0,12698.42,3240.0,5668.94,1498.94
False,False,True,20,4,10152.17,20.4EDY,3660.0,8910.0,15192.75,3270.0,5442.17,1242.17
False,False,False,20,10,11745.29,20.10EDN,3780.0,10770.0,16666.67,3360.0,4875.29,975.29
False,True,True,20,13,8858.67,20.13EQY,3480.0,7860.0,13492.06,3150.0,4988.67,998.67
True,True,True,20,17,11135.15,20.17FQY,3510.0,10500.0,16099.77,3270.0,4535.15,635.15
True,True,True,20,22,11282.04,20.22FQY,3630.0,10320.0,15986.4,3420.0,5102.04,962.04
True,True,False,20,45,11488.52,20.45FQN,3870.0,10890.0,17573.69,3510.0,4648.52,598.52
True,False,False,20,48,10538.67,20.48FDN,3630.0,9570.0,14739.23,3510.0,4988.67,968.67
True,False,True,20,30,9312.17,20.30FDY,3900.0,8310.0,14058.96,3390.0,5442.17,1002.17
True,True,False,20,34,9105.29,20.34FQN,3750.0,8100.0,13718.81,3360.0,4875.29,1005.29
True,True,True,20,24,7288.52,20.24FQY,3270.0,6360.0,10770.98,3000.0,4648.52,928.52
True,True,True,20,29,10055.15,20.29FQY,3450.0,9360.0,17346.94,3330.0,4535.15,695.15
True,False,False,20,39,7091.77,20.39FDN,3180.0,6060.0,14172.33,2880.0,4421.77,1031.77
True,False,False,20,43,6891.9,20.43FDN,3060.0,5940.0,10317.46,3120.0,4761.9,951.9
False,True,False,20,1,1845.69,20.1EQN,7350.0,360.0,15646.25,3570.0,5895.69,1485.69
False,True,True,20,8,9545.15,20.8EQY,3570.0,8850.0,13832.21,3240.0,4535.15,695.15
True,False,False,20,46,13645.42,20.46FDN,3540.0,12600.0,18367.35,3450.0,5215.42,1045.42
True,True,True,20,21,8952.17,20.21FQY,3450.0,7500.0,13151.94,3120.0,5442.17,1452.17
True,True,True,20,19,6085.02,20.19FQY,3330.0,5640.0,10544.21,3090.0,4195.02,445.02
False,True,False,20,9,10745.15,20.9EQN,3210.0,10020.0,15532.88,2880.0,4535.15,725.15
False,False,False,20,2,10338.79,20.2EDN,3210.0,8880.0,20181.4,3210.0,5328.79,1458.79
False,False,True,20,16,9331.62,20.16EDY,3540.0,8940.0,13718.81,2970.0,4081.62,391.62
False,True,False,20,12,13911.9,20.12EQN,3480.0,13140.0,23242.62,3360.0,4761.9,771.9
False,False,True,20,6,8361.9,20.6EDY,4050.0,7560.0,13832.21,3300.0,4761.9,801.9
True,False,False,20,37,10751.77,20.37FDN,3630.0,9930.0,15306.12,3060.0,4421.77,821.77
True,False,False,20,40,10745.56,20.40FDN,3900.0,9300.0,15079.38,3450.0,5555.56,1445.56
True,True,True,20,27,7215.29,20.27FQY,8220.0,6210.0,15873.02,3180.0,4875.29,1005.29
True,True,True,20,20,8035.83,20.20FQY,3570.0,6090.0,12018.15,3540.0,6235.83,1945.83
True,False,False,20,47,10941.9,20.47FDN,2940.0,9690.0,17233.56,2670.0,4761.9,1251.9
False,True,True,20,11,11128.52,20.11EQY,3570.0,10170.0,15306.12,3150.0,4648.52,958.52
True,True,True,20,18,14891.77,20.18FQY,4320.0,14640.0,20634.92,3600.0,4421.77,251.77
False,True,False,20,15,12288.4,20.15EQN,3210.0,11820.0,17120.19,3030.0,4308.4,468.4
False,False,False,20,5,7694.88,20.5EDN,2880.0,7290.0,11564.62,2730.0,3854.88,404.88
False,False,False,20,3,9895.42,20.3EDN,3690.0,8610.0,14739.23,3240.0,5215.42,1285.42
False,True,True,20,7,10461.9,20.7EQY,3750.0,9540.0,15306.12,3240.0,4761.9,921.9
True,False,True,20,32,10548.79,20.32FDY,3510.0,8820.0,14285.71,3060.0,5328.79,1728.79
True,True,False,20,36,9631.62,20.36FQN,3240.0,9090.0,14058.96,3030.0,4081.62,541.62
True,True,True,20,26,718.52,20.26FQY,,,,3270.0,4648.52,718.52
True,False,False,20,41,9185.15,20.41FDN,3540.0,8280.0,13265.31,2910.0,4535.15,905.15
True,False,True,9,22,4975.83,9.22FDY,3660.0,3450.0,8616.77,3870.0,6235.83,1525.83
True,False,False,9,45,5565.69,9.45FDN,3660.0,4080.0,9523.81,3750.0,5895.69,1485.69
True,True,False,9,48,8462.85,9.48FQN,4170.0,6630.0,11904.77,4470.0,7142.85,1832.85
False,False,True,9,13,7482.58,9.13EDY,3390.0,5550.0,10090.71,3450.0,6462.58,1932.58
True,False,True,9,17,5789.33,9.17FDY,3510.0,4080.0,9070.29,3990.0,6689.33,1709.33
False,False,True,9,8,5589.48,9.8EDY,3390.0,3450.0,8843.54,3900.0,7029.48,2139.48
False,False,False,9,1,6042.58,9.1EDN,3840.0,4110.0,9863.94,3750.0,6462.58,1932.58
True,True,True,9,30,5606.23,9.30FQY,4080.0,4080.0,10317.46,4890.0,7256.23,1526.23
True,False,False,9,34,7139.75,9.34FDN,3720.0,5490.0,11451.25,5490.0,7709.75,1649.75
True,False,True,9,24,6532.31,9.24FDY,3330.0,5070.0,10090.71,3330.0,5782.31,1462.31
True,False,True,9,29,6106.1,9.29FDY,3900.0,4440.0,9977.33,4410.0,6916.1,1666.1
True,True,False,9,39,6542.46,9.39FQN,3060.0,4830.0,9863.94,3660.0,6122.46,1712.46
True,True,False,9,43,7005.69,9.43FQN,3150.0,5070.0,10317.46,3090.0,5895.69,1935.69
True,True,False,9,33,7085.96,9.33FQN,3210.0,4830.0,9637.19,3360.0,6575.96,2255.96
True,False,True,9,23,6872.85,9.23FDY,3210.0,4920.0,9977.33,3840.0,7142.85,1952.85
True,False,False,9,44,6873.27,9.44FDN,3540.0,4830.0,9750.56,5190.0,8163.27,2043.27
False,True,True,9,4,6605.96,9.4EQY,4080.0,4830.0,11111.1,3810.0,6575.96,1775.96
False,True,True,9,14,7626.77,9.14EQY,3720.0,6120.0,11224.5,5910.0,8616.77,1506.77
False,True,False,9,10,7049.33,9.10EQN,3540.0,6090.0,10997.73,4500.0,6689.33,959.33
True,True,False,9,38,5815.83,9.38FQN,3570.0,4470.0,9523.81,3840.0,6235.83,1345.83
True,True,False,9,35,7372.73,9.35FQN,3150.0,5220.0,9863.94,3630.0,6802.73,2152.73
True,True,False,9,42,6696.38,9.42FQN,6960.0,4770.0,18480.73,4200.0,7596.38,1926.38
True,True,True,9,25,6282.58,9.25FQY,3900.0,4650.0,9863.94,4050.0,6462.58,1632.58
True,True,True,9,31,7459.6,9.31FQY,4020.0,4860.0,10884.35,3690.0,7369.6,2599.6
True,False,True,9,28,5935.42,9.28FDY,3780.0,4950.0,9750.56,3360.0,5215.42,985.42
False,False,True,9,11,6602.46,9.11EDY,3570.0,4710.0,9410.44,3540.0,6122.46,1892.46
False,True,False,9,5,5769.48,9.5EQN,3180.0,3720.0,8049.9,4050.0,7029.48,2049.48
True,False,True,9,18,5776.1,9.18FDY,4200.0,4230.0,9977.33,4050.0,6916.1,1546.1
False,False,False,9,15,6808.94,9.15EDN,3180.0,5160.0,9977.33,3510.0,5668.94,1648.94
True,False,True,9,20,5522.46,9.20FDY,3660.0,4350.0,9750.56,4170.0,6122.46,1172.46
