filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
8.21FQY,8,True,True,21,0,True
8.22FQY,8,True,True,22,0,True
8.23FQY,8,True,True,23,1600,True
8.26FQY,8,True,True,26,1550,True
8.27FQY,8,True,True,27,9200,True
8.29FQY,8,True,True,29,1150,True
8.2EDN,8,False,False,2,3050,False
8.30FDY,8,True,False,30,0,True
8.31FDY,8,True,False,31,2450,True
8.32FDY,8,True,False,32,500,True
8.33FDN,8,False,False,33,-1,True
8.34FQN,8,False,True,34,-1,True
8.35FDN,8,False,False,35,649,True
8.38FDN,8,False,False,38,750,True
8.39FDN,8,False,False,39,-1,True
8.3EDN,8,False,False,3,2750,False
8.40FDN,8,False,False,40,599,True
8.41FDN,8,False,False,41,5349,True
8.42FDN,8,False,False,42,1050,True
8.44FQN,8,False,True,44,4200,True
8.46FDN,8,False,False,46,0,True
8.4EDY,8,True,False,4,4500,False
8.7EQY,8,True,True,7,-1,False
8.8EQY,8,True,True,8,1300,False
8.9EQN,8,False,True,9,0,False
9.10EQN,9,False,True,10,1850,False
9.11EDY,9,True,False,11,-2,False
9.12EDN,9,False,False,12,1900,False
9.13EDY,9,True,False,13,4000,False
9.14EQY,9,True,True,14,1649,False
9.15EDN,9,False,False,15,1800,False
9.16EQY,9,True,True,16,750,False
9.17FDY,9,True,False,17,1050,True
9.18FDY,9,True,False,18,-1,True
9.19FDY,9,True,False,19,2149,True
9.1EDN,9,False,False,1,2349,False
9.20FDY,9,True,False,20,5900,True
9.21FDY,9,True,False,21,4350,True
9.22FDY,9,True,False,22,2850,True
9.23FDY,9,True,False,23,2299,True
9.24FDY,9,True,False,24,2800,True
9.25FQY,9,True,True,25,999,True
9.26FDY,9,True,False,26,1500,True
9.27FDY,9,True,False,27,4350,True
9.28FDY,9,True,False,28,2550,True
9.29FDY,9,True,False,29,3300,True
9.2EQN,9,False,True,2,8850,False
9.30FQY,9,True,True,30,1799,True
9.31FQY,9,True,True,31,5250,True
9.32FQY,9,True,True,32,2199,True
9.33FQN,9,False,True,33,5000,True
9.34FDN,9,False,False,34,5150,True
9.35FQN,9,False,True,35,349,True
9.36FDN,9,False,False,36,2050,True
9.37FQN,9,False,True,37,3100,True
9.38FQN,9,False,True,38,3000,True
9.39FQN,9,False,True,39,2199,True
9.3EQN,9,False,True,3,3399,False
9.40FQN,9,False,True,40,3150,True
9.41FQN,9,False,True,41,4750,True
9.42FQN,9,False,True,42,3600,True
9.43FQN,9,False,True,43,2549,True
9.44FDN,9,False,False,44,1149,True
9.45FDN,9,False,False,45,2699,True
9.46FQN,9,False,True,46,3550,True
9.47FQN,9,False,True,47,1449,True
9.48FQN,9,False,True,48,3400,True
9.4EQY,9,True,True,4,6700,False
9.5EQN,9,False,True,5,3950,False
9.6EQY,9,True,True,6,1249,False
9.7EDY,9,True,False,7,5100,False
