isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
False,False,True,203,12,924.62,203.12EDY,4050.0,900.0,5442.12,2340.0,3174.62,24.62
False,True,False,203,16,1684.75,203.16EQN,2610.0,1680.0,4308.38,3090.0,3514.75,4.75
True,False,True,203,28,901.25,203.28FDY,5100.0,900.0,6009.12,2190.0,3061.25,1.25
False,False,True,203,1,1604.5,203.1EDY,3060.0,1590.0,4988.62,2190.0,2834.5,14.5
True,True,True,203,31,3210.0,203.31FQY,3360.0,3210.0,6576.0,,,
True,True,True,203,25,2398.5,203.25FQY,2610.0,1470.0,4081.62,3060.0,4648.5,928.5
True,True,False,203,42,4631.75,203.42FQN,3630.0,4440.0,8390.0,3240.0,4421.75,191.75
True,True,False,203,35,2178.0,203.35FQN,4290.0,2160.0,6462.62,2550.0,3288.0,18.0
False,False,False,203,8,1968.0,203.8EDN,4260.0,1950.0,6235.88,2610.0,3288.0,18.0
True,True,False,203,38,1791.88,203.38FQN,3540.0,1770.0,5328.75,3690.0,4761.88,21.88
True,True,False,203,48,1678.12,203.48FQN,3090.0,1650.0,4988.62,2910.0,3628.12,28.12
True,False,False,203,45,1694.88,203.45FDN,3090.0,1650.0,4761.88,3060.0,3854.88,44.88
True,False,True,203,22,1104.62,203.22FDY,4020.0,1080.0,5102.0,2370.0,3174.62,24.62
True,False,True,203,17,3791.38,203.17FDY,4890.0,3780.0,8730.12,2370.0,3401.38,11.38
False,False,False,203,11,1915.0,203.11EDN,3420.0,1470.0,6462.62,3210.0,4195.0,445.0
False,False,True,203,15,1871.38,203.15EDY,3000.0,1500.0,4648.5,2430.0,3401.38,371.38
True,True,False,203,43,637.88,203.43FQN,3540.0,630.0,5215.38,2250.0,2947.88,7.88
True,True,False,203,39,1837.88,203.39FQN,2970.0,1830.0,5102.0,2190.0,2947.88,7.88
True,False,True,203,29,1371.88,203.29FDY,5130.0,930.0,6349.25,3840.0,4761.88,441.88
True,False,True,203,24,731.38,203.24FDY,3450.0,720.0,4195.0,2580.0,3401.38,11.38
False,True,False,203,4,1671.5,203.4EQN,3360.0,1650.0,6235.88,2790.0,3741.5,21.5
True,True,True,203,30,994.75,203.30FQY,4470.0,990.0,5668.88,2610.0,3514.75,4.75
True,False,False,203,34,1871.38,203.34FDN,3870.0,1650.0,5782.38,2310.0,3401.38,221.38
False,True,True,205,4,15012.12,205.4EQY,4050.0,13830.0,18707.5,3600.0,5442.12,1182.12
False,True,True,205,16,7368.75,205.16EQY,3270.0,5700.0,9864.0,3060.0,5328.75,1668.75
False,False,False,205,12,8628.75,205.12EDN,3510.0,7380.0,11678.0,3540.0,5328.75,1248.75
True,False,True,205,27,16048.5,205.27FDY,3480.0,15360.0,19387.75,3420.0,4648.5,688.5
True,True,False,205,40,10475.5,205.40FQN,4260.0,9450.0,14739.25,4020.0,5555.5,1025.5
True,True,False,205,37,9531.88,205.37FQN,3300.0,8400.0,12811.75,3090.0,4761.88,1131.88
True,False,True,205,21,5135.12,205.21FDY,3570.0,4440.0,8843.5,3360.0,4535.12,695.12
True,True,False,205,46,10601.75,205.46FQN,4050.0,9990.0,15192.75,3210.0,4421.75,611.75
True,False,True,205,19,6198.38,205.19FDY,2580.0,5430.0,8616.75,2670.0,4308.38,768.38
False,False,True,205,8,12095.5,205.8EDY,4290.0,10020.0,15192.75,3000.0,5555.5,2075.5
False,False,False,205,1,5762.0,205.1EDN,3570.0,5130.0,9183.62,3660.0,5102.0,632.0
True,True,False,205,41,12062.0,205.41FQN,3480.0,10650.0,15646.25,3210.0,5102.0,1412.0
True,False,True,205,26,12955.38,205.26FDY,3930.0,11730.0,16893.38,3450.0,5215.38,1225.38
True,True,True,205,32,6985.38,205.32FQY,3060.0,5550.0,9864.0,3000.0,5215.38,1435.38
True,False,False,205,36,13538.62,205.36FDN,3000.0,12750.0,16213.13,3540.0,4988.62,788.62
True,True,False,205,47,15098.62,205.47FQN,3270.0,13860.0,18140.62,3180.0,4988.62,1238.62
True,False,True,205,20,14112.12,205.20FDY,4320.0,13050.0,18707.5,3630.0,5442.12,1062.12
False,False,False,205,15,1655.12,205.15EDN,4200.0,750.0,15986.38,3000.0,4535.12,905.12
True,False,True,205,18,5832.12,205.18FDY,3840.0,4800.0,9297.0,3360.0,5442.12,1032.12
False,False,True,205,11,7858.5,205.11EDY,4170.0,6690.0,11111.12,2970.0,4648.5,1168.5
True,False,True,205,28,10251.88,205.28FDY,3240.0,9720.0,13945.62,3540.0,4761.88,531.88
True,True,True,205,31,10029.12,205.31FQY,3930.0,8910.0,13605.5,3510.0,6009.12,1119.12
True,True,False,205,42,17072.0,205.42FQN,3840.0,16260.0,21088.38,3540.0,5102.0,812.0
True,True,True,205,25,9192.12,205.25FQY,3630.0,8220.0,12925.12,3630.0,5442.12,972.12
True,True,False,205,38,9542.0,205.38FQN,4260.0,8340.0,14172.38,3330.0,5102.0,1202.0
True,True,False,205,35,16622.0,205.35FQN,2700.0,15150.0,19501.12,2940.0,5102.0,1472.0
False,True,False,205,10,6788.62,205.10EQN,3840.0,5850.0,10657.62,3300.0,4988.62,938.62
False,True,True,205,6,11725.38,205.6EQY,3840.0,10590.0,15079.38,3450.0,5215.38,1135.38
False,True,True,205,14,11275.38,205.14EQY,4470.0,9960.0,15532.88,3360.0,5215.38,1315.38
False,True,False,205,2,8045.12,205.2EQN,3690.0,7200.0,11678.0,3150.0,4535.12,845.12
False,False,False,205,9,9782.0,205.9EDN,3210.0,8730.0,12698.38,3360.0,5102.0,1052.0
True,False,True,205,23,11818.5,205.23FDY,3510.0,11040.0,15419.5,2910.0,4648.5,778.5
True,False,False,205,44,11038.88,205.44FDN,3060.0,9960.0,14059.0,3600.0,5668.88,1078.88
True,True,False,205,33,12785.12,205.33FQN,3240.0,11790.0,16326.5,3030.0,4535.12,995.12
True,True,False,205,43,8442.12,205.43FQN,2730.0,6810.0,11678.0,2910.0,5442.12,1632.12
True,True,False,205,39,2538.75,205.39FQN,5730.0,1050.0,24376.38,3000.0,5328.75,1488.75
True,False,True,205,24,6371.75,205.24FDY,2820.0,5640.0,9410.38,3090.0,4421.75,731.75
True,False,True,205,29,11979.12,205.29FDY,3870.0,9990.0,14739.25,3540.0,6009.12,1989.12
True,True,True,205,30,13515.75,205.30FQY,3600.0,12090.0,16213.13,3660.0,5895.75,1425.75
True,False,False,205,34,6895.38,205.34FDN,3540.0,6030.0,11791.38,3540.0,5215.38,865.38
False,False,True,205,7,18255.75,205.7EDY,3510.0,17010.0,21542.0,3720.0,5895.75,1245.75
False,True,False,205,3,7818.75,205.3EQN,3420.0,6450.0,11111.12,3480.0,5328.75,1368.75
False,True,False,205,5,7148.62,205.5EQN,3060.0,5850.0,9750.62,3090.0,4988.62,1298.62
True,False,True,205,17,9965.12,205.17FDY,3630.0,9270.0,13151.88,3360.0,4535.12,695.12
