isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
TRUE,TRUE,TRUE,204,28,2499.12,204.28FQY,8160,1440,11224.5,3990,6009.12,1059.12
FALSE,FALSE,TRUE,204,14,1975.88,204.14EDY,8220,1860,10090.75,5430,6235.88,115.88
TRUE,TRUE,TRUE,204,22,2912.5,204.22FQY,5670,1740,7823.12,4050,6122.5,1172.5
TRUE,TRUE,FALSE,204,45,2238.75,204.45FQN,7350,1290,10430.88,3720,5328.75,948.75
TRUE,FALSE,FALSE,204,48,2522.5,204.48FDN,7140,1530,10430.88,4290,6122.5,992.5
FALSE,TRUE,TRUE,204,13,1746.0,204.13EQY,7290,900,8956.88,4770,6576,846
TRUE,TRUE,TRUE,204,17,1502.5,204.17FQY,7350,1020,8390,4560,6122.5,482.5
FALSE,TRUE,FALSE,204,1,1698.75,204.1EQN,8760,1320,11564.62,4080,5328.75,378.75
TRUE,TRUE,FALSE,204,34,2698.88,204.34FQN,7920,1980,10657.62,3990,5668.88,718.88
TRUE,FALSE,TRUE,204,30,3592.38,204.30FDY,7470,2370,10771,3900,5782.38,1222.38
TRUE,TRUE,TRUE,204,24,3325.88,204.24FQY,7530,1470,10884.38,3780,6235.88,1855.88
TRUE,TRUE,TRUE,204,29,5578.88,204.29FQY,5520,5250,11337.88,4410,5668.88,328.88
TRUE,FALSE,FALSE,204,39,4715.5,204.39FDN,3540,3750,8390,3630,5555.5,965.5
FALSE,TRUE,TRUE,204,8,1252.75,204.8EQY,7770,960,8730.12,5460,6802.75,292.75
TRUE,FALSE,FALSE,204,43,3062.0,204.43FDN,6180,2310,9864,3600,5102,752
TRUE,FALSE,TRUE,203,19,2071.25,203.19FDY,2610,2070,4761.88,2430,3061.25,1.25
FALSE,TRUE,FALSE,203,14,2621.38,203.14EQN,3000,2430,5555.5,2580,3401.38,191.38
FALSE,TRUE,TRUE,203,10,2884.75,203.10EQY,3210,2880,6576,2820,3514.75,4.75
TRUE,FALSE,TRUE,203,21,2138.25,203.21FDY,4080,900,4988.62,2160,3968.25,1238.25
FALSE,TRUE,TRUE,203,5,1191.5,203.5EQY,3780,1170,5102,2430,3741.5,21.5
TRUE,TRUE,FALSE,203,46,2344.75,203.46FQN,3150,2340,6009.12,2640,3514.75,4.75
TRUE,FALSE,TRUE,203,27,2391.5,203.27FDY,3060,2370,5442.12,3210,3741.5,21.5
TRUE,TRUE,FALSE,203,40,4368.0,203.40FQN,3450,4350,8163.25,2490,3288,18
FALSE,FALSE,FALSE,203,7,697.88,203.7EDN,4620,690,5328.75,2280,2947.88,7.88
FALSE,TRUE,TRUE,203,3,3651.5,203.3EQY,4680,3630,8616.75,2610,3741.5,21.5
TRUE,TRUE,FALSE,203,37,1201.25,203.37FQN,2640,1200,3854.88,2160,3061.25,1.25
TRUE,FALSE,TRUE,203,18,1484.5,203.18FDY,3390,1470,4875.25,2010,2834.5,14.5
FALSE,FALSE,TRUE,203,9,1605.25,203.9EDY,4020,1410,5442.12,3930,4875.25,195.25
TRUE,FALSE,TRUE,203,20,1818.0,203.20FDY,3180,1680,4988.62,2520,3288,138
TRUE,TRUE,FALSE,203,47,1500.0,203.47FQN,2670,1500,4195,,,
TRUE,TRUE,FALSE,203,41,2344.75,203.41FQN,3540,2340,5895.75,2610,3514.75,4.75
FALSE,TRUE,TRUE,203,2,2161.62,203.2EQY,3720,2160,5895.75,3360,4081.62,1.62
TRUE,FALSE,TRUE,203,26,1435.0,203.26FDY,4020,1410,5442.12,3060,4195,25
TRUE,TRUE,TRUE,203,32,2131.25,203.32FQY,4830,2130,7483,2310,3061.25,1.25
TRUE,FALSE,FALSE,203,36,1739.0,203.36FDN,3630,1739,4535.12,,,
FALSE,TRUE,FALSE,203,6,1661.38,203.6EQN,3210,1560,4988.62,2670,3401.38,101.38
FALSE,FALSE,FALSE,203,13,1225.0,203.13EDN,4110,750,4875.25,2370,4195,475
TRUE,FALSE,FALSE,203,44,2908.5,203.44FDN,4230,2430,8616.75,3840,4648.5,478.5
TRUE,FALSE,TRUE,203,23,2901.12,203.23FDY,2790,2850,5668.88,2130,2721.12,51.12
TRUE,TRUE,FALSE,203,33,678.38,203.33FQN,4980,660,5668.88,3540,4308.38,18.38
FALSE,FALSE,TRUE,203,12,924.62,203.12EDY,4050,900,5442.12,2340,3174.62,24.62
FALSE,TRUE,FALSE,203,16,1684.75,203.16EQN,2610,1680,4308.38,3090,3514.75,4.75
TRUE,FALSE,TRUE,203,28,901.25,203.28FDY,5100,900,6009.12,2190,3061.25,1.25
FALSE,FALSE,TRUE,203,1,1604.5,203.1EDY,3060,1590,4988.62,2190,2834.5,14.5
TRUE,TRUE,TRUE,203,31,3062.0,203.31FQY,3360,3062,6576,,,
TRUE,TRUE,TRUE,203,25,2398.5,203.25FQY,2610,1470,4081.62,3060,4648.5,928.5
TRUE,TRUE,FALSE,203,42,4631.75,203.42FQN,3630,4440,8390,3240,4421.75,191.75
TRUE,TRUE,FALSE,203,35,2178.0,203.35FQN,4290,2160,6462.62,2550,3288,18
FALSE,FALSE,FALSE,203,8,1968.0,203.8EDN,4260,1950,6235.88,2610,3288,18
TRUE,TRUE,FALSE,203,38,1791.88,203.38FQN,3540,1770,5328.75,3690,4761.88,21.88
TRUE,TRUE,FALSE,203,48,1678.12,203.48FQN,3090,1650,4988.62,2910,3628.12,28.12
TRUE,FALSE,FALSE,203,45,1694.88,203.45FDN,3090,1650,4761.88,3060,3854.88,44.88
TRUE,FALSE,TRUE,203,22,1104.62,203.22FDY,4020,1080,5102,2370,3174.62,24.62
TRUE,FALSE,TRUE,203,17,3791.38,203.17FDY,4890,3780,8730.12,2370,3401.38,11.38
FALSE,FALSE,FALSE,203,11,1915.0,203.11EDN,3420,1470,6462.62,3210,4195,445
FALSE,FALSE,TRUE,203,15,1871.38,203.15EDY,3000,1500,4648.5,2430,3401.38,371.38
