filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
201.16EQY,201,True,True,16,1550,False
201.17FDY,201,True,False,17,650,True
201.18FDY,201,True,False,18,1050,True
201.19FDY,201,True,False,19,500,True
201.1EDN,201,False,False,1,1150,False
201.20FDY,201,True,False,20,1600,True
201.21FDY,201,True,False,21,1250,True
201.22FDY,201,True,False,22,1500,True
201.23FDY,201,True,False,23,1150,True
201.24FDY,201,True,False,24,1250,True
201.25FQY,201,True,True,25,950,True
201.26FDY,201,True,False,26,1100,True
201.27FDY,201,True,False,27,1450,True
201.28FDY,201,True,False,28,1250,True
201.29FDY,201,True,False,29,1650,True
201.2EQN,201,False,True,2,650,False
201.30FQY,201,True,True,30,950,True
201.31FQY,201,True,True,31,1200,True
201.32FQY,201,True,True,32,1100,True
201.33FQN,201,False,True,33,1200,True
201.34FDN,201,False,False,34,1450,True
201.35FQN,201,False,True,35,950,True
201.36FDN,201,False,False,36,600,True
201.37FQN,201,False,True,37,1150,True
201.38FQN,201,False,True,38,1350,True
201.39FQN,201,False,True,39,1150,True
201.3EQN,201,False,True,3,950,False
201.40FQN,201,False,True,40,1350,True
201.41FQN,201,False,True,41,1300,True
201.42FQN,201,False,True,42,1250,True
201.43FQN,201,False,True,43,1350,True
201.44FDN,201,False,False,44,500,True
201.45FDN,201,False,False,45,1050,True
201.46FQN,201,False,True,46,950,True
201.47FQN,201,False,True,47,1200,True
201.48FQN,201,False,True,48,1050,True
201.4EQY,201,True,True,4,1050,False
201.5EQN,201,False,True,5,1000,False
201.6EQY,201,True,True,6,900,False
201.7EDY,201,True,False,7,1050,False
201.8EDY,201,True,False,8,1250,False
201.9EDN,201,False,False,9,700,False
203.10EQY,203,True,True,10,1750,False
203.11EDN,203,False,False,11,950,False
203.12EDY,203,True,False,12,650,False
203.13EDN,203,False,False,13,900,False
203.14EQN,203,False,True,14,800,False
203.15EDY,203,True,False,15,450,False
203.16EQN,203,False,True,16,0,False
203.17FDY,203,True,False,17,350,True
203.18FDY,203,True,False,18,0,True
203.19FDY,203,True,False,19,550,True
203.1EDY,203,True,False,1,600,False
203.20FDY,203,True,False,20,900,True
203.21FDY,203,True,False,21,350,True
203.22FDY,203,True,False,22,0,True
203.23FDY,203,True,False,23,0,True
203.24FDY,203,True,False,24,350,True
203.25FQY,203,True,True,25,500,True
203.26FDY,203,True,False,26,350,True
203.27FDY,203,True,False,27,0,True
203.28FDY,203,True,False,28,0,True
203.29FDY,203,True,False,29,450,True
203.2EQY,203,True,True,2,900,False
203.30FQY,203,True,True,30,450,True
203.31FQY,203,True,True,31,0,True
203.32FQY,203,True,True,32,900,True
203.33FQN,203,False,True,33,2000,True
203.34FDN,203,False,False,34,1400,True
203.35FQN,203,False,True,35,0,True
203.36FDN,203,False,False,36,0,True
203.37FQN,203,False,True,37,0,True
203.38FQN,203,False,True,38,1350,True
203.39FQN,203,False,True,39,650,True
203.3EQY,203,True,True,3,450,False
203.40FQN,203,False,True,40,500,True
203.41FQN,203,False,True,41,350,True
203.42FQN,203,False,True,42,1200,True
203.43FQN,203,False,True,43,700,True
203.44FDN,203,False,False,44,800,True
203.45FDN,203,False,False,45,450,True
203.46FQN,203,False,True,46,700,True
203.47FQN,203,False,True,47,0,True
203.48FQN,203,False,True,48,450,True
203.4EQN,203,False,True,4,1550,False
203.5EQY,203,True,True,5,400,False
203.6EQN,203,False,True,6,900,False
203.7EDN,203,False,False,7,450,False
203.8EDN,203,False,False,8,800,False
203.9EDY,203,True,False,9,2050,False
204.10EDN,204,False,False,10,1950,False
204.11EQY,204,True,True,11,1000,False
204.12EQN,204,False,True,12,1100,False
204.13EQY,204,True,True,13,1800,False
204.14EDY,204,True,False,14,1850,False
204.15EQN,204,False,True,15,2900,False
204.16EDY,204,True,False,16,1000,False
204.17FQY,204,True,True,17,1450,True
204.18FQY,204,True,True,18,1800,True
204.19FQY,204,True,True,19,1850,True
204.1EQN,204,False,True,1,2700,False
204.20FQY,204,True,True,20,2400,True
204.21FQY,204,True,True,21,1050,True
204.22FQY,204,True,True,22,1150,True
204.23FQY,204,True,True,23,2500,True
204.24FQY,204,True,True,24,1150,True
204.25FDY,204,True,False,25,1100,True
204.26FQY,204,True,True,26,1150,True
204.27FQY,204,True,True,27,1250,True
204.28FQY,204,True,True,28,2000,True
204.29FQY,204,True,True,29,1200,True
204.2EDN,204,False,False,2,1400,False
204.30FDY,204,True,False,30,1550,True
204.31FDY,204,True,False,31,1150,True
204.32FDY,204,True,False,32,850,True
204.33FDN,204,False,False,33,650,True
204.34FQN,204,False,True,34,1150,True
204.35FDN,204,False,False,35,1400,True
204.36FQN,204,False,True,36,2300,True
204.37FDN,204,False,False,37,900,True
204.38FDN,204,False,False,38,1550,True
204.39FDN,204,False,False,39,1250,True
204.3EDN,204,False,False,3,800,False
204.40FDN,204,False,False,40,1200,True
204.41FDN,204,False,False,41,1400,True
204.42FDN,204,False,False,42,1600,True
204.43FDN,204,False,False,43,1750,True
204.44FQN,204,False,True,44,1500,True
204.45FQN,204,False,True,45,1000,True
204.46FDN,204,False,False,46,1600,True
204.47FDN,204,False,False,47,1050,True
204.48FDN,204,False,False,48,2550,True
204.4EDY,204,True,False,4,1300,False
204.5EDN,204,False,False,5,2750,False
204.6EDY,204,True,False,6,3300,False
204.7EQY,204,True,True,7,1600,False
204.8EQY,204,True,True,8,800,False
204.9EQN,204,False,True,9,1050,False
205.10EQN,205,False,True,10,1550,False
205.11EDY,205,True,False,11,800,False
205.12EDN,205,False,False,12,1500,False
205.13EDY,205,True,False,13,1550,False
205.14EQY,205,True,True,14,1200,False
205.15EDN,205,False,False,15,1350,False
205.16EQY,205,True,True,16,1400,False
205.17FDY,205,True,False,17,750,True
205.18FDY,205,True,False,18,1600,True
205.19FDY,205,True,False,19,1300,True
205.1EDN,205,False,False,1,1400,False
205.20FDY,205,True,False,20,2050,True
205.21FDY,205,True,False,21,1850,True
205.22FDY,205,True,False,22,800,True
205.23FDY,205,True,False,23,1700,True
205.24FDY,205,True,False,24,1300,True
205.25FQY,205,True,True,25,1200,True
205.26FDY,205,True,False,26,2800,True
205.27FDY,205,True,False,27,1050,True
205.28FDY,205,True,False,28,1500,True
205.29FDY,205,True,False,29,850,True
205.2EQN,205,False,True,2,1050,False
205.30FQY,205,True,True,30,1550,True
205.31FQY,205,True,True,31,1350,True
205.32FQY,205,True,True,32,1450,True
205.33FQN,205,False,True,33,1200,True
205.34FDN,205,False,False,34,1450,True
205.35FQN,205,False,True,35,2200,True
205.36FDN,205,False,False,36,850,True
205.37FQN,205,False,True,37,2150,True
205.38FQN,205,False,True,38,1900,True
205.39FQN,205,False,True,39,1050,True
205.3EQN,205,False,True,3,1400,False
205.40FQN,205,False,True,40,950,True
205.41FQN,205,False,True,41,1200,True
205.42FQN,205,False,True,42,1550,True
205.43FQN,205,False,True,43,2200,True
205.44FDN,205,False,False,44,2150,True
205.45FDN,205,False,False,45,850,True
205.46FQN,205,False,True,46,1300,True
205.47FQN,205,False,True,47,1300,True
205.48FQN,205,False,True,48,900,True
205.4EQY,205,True,True,4,1000,False
205.5EQN,205,False,True,5,1150,False
205.6EQY,205,True,True,6,850,False
205.7EDY,205,True,False,7,1800,False
205.8EDY,205,True,False,8,1500,False
205.9EDN,205,False,False,9,1450,False
206.10EDY,206,True,False,10,1200,False
206.11EQN,206,False,True,11,0,False
206.12EQY,206,True,True,12,400,False
206.13EQN,206,False,True,13,1500,False
206.14EDN,206,False,False,14,0,False
206.15EQY,206,True,True,15,950,False
206.16EDN,206,False,False,16,350,False
206.17FQY,206,True,True,17,850,True
206.18FQY,206,True,True,18,750,True
206.19FQY,206,True,True,19,1150,True
206.1EQY,206,True,True,1,1750,False
206.20FQY,206,True,True,20,650,True
206.21FQY,206,True,True,21,2950,True
206.22FQY,206,True,True,22,0,True
206.23FQY,206,True,True,23,1200,True
206.24FQY,206,True,True,24,1000,True
206.25FDY,206,True,False,25,550,True
206.26FQY,206,True,True,26,600,True
206.27FQY,206,True,True,27,0,True
206.28FQY,206,True,True,28,400,True
206.29FQY,206,True,True,29,2800,True
206.2EDY,206,True,False,2,950,False
206.30FDY,206,True,False,30,1600,True
206.31FDY,206,True,False,31,2500,True
206.32FDY,206,True,False,32,950,True
