"","Speaker ID","Recording ID","X or Y","First Recording For Speaker","Break_V","Break_OBJ","Break_PP1","Strongest","Weakest","Struggle","Struggle_start","Q_intonation","Silence after reading (Y/R1)","Silence before reading (X/R2)","Q_condition","GP_condition","Reading","item","rec"
"101",9,"9.4EQY_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","4","4EQY"
"102",9,"9.3EQN_X","X","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","1","3","3EQN"
"103",9,"9.2EQN_Y","Y","16Y","NO","YES","NO","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","2","2","2EQN"
"104",9,"9.1EDN_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","1","1","1EDN"
"105",5,"5.14EQY_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","14","14EQY"
"106",5,"5.13EDY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","13","13EDY"
"107",5,"5.12EDN_X","X","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","1","12","12EDN"
"108",5,"5.9EDN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","9","9EDN"
"109",5,"5.8EDY_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","1","8","8EDY"
"110",5,"5.4EQY_X","X","1X","NO","YES","YES","PP1","OBJ","YES","PP1","YES",NA,NA,"Q","Y","1","4","4EQY"
"111",5,"5.3EQN_Y","Y","1X","NO","NO","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","N","2","3","3EQN"
"112",5,"5.2EQN_X","X","1X","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","1","2","2EQN"
"113",7,"7.1EDY_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","Y","1","1","1EDY"
"114",7,"7.2EQY_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","2","2","2EQY"
"115",7,"7.3EQY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","Y","1","3","3EQY"
"116",7,"7.4EQN_Y","Y","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","4","4EQN"
"117",7,"7.5EQY_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","5","5EQY"
"118",7,"7.6EQN_Y","Y","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","6","6EQN"
"119",7,"7.7EDN_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","1","7","7EDN"
"120",7,"7.8EDN_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","8","8EDN"
"121",7,"7.9EDY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","9","9EDY"
"122",7,"7.10EQY_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","2","10","10EQY"
