UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
11-4-2,11,4,2,FALSE,TRUE,4EQN,11.4EQN_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
11-5-1,11,5,1,TRUE,TRUE,5EQY,11.5EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES
11-5-2,11,5,2,TRUE,TRUE,5EQY,11.5EQY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
11-6-1,11,6,1,FALSE,TRUE,6EQN,11.6EQN_X,X,1Y,NO,YES,YES,NONE,NONE,NO,,YES
11-6-2,11,6,2,FALSE,TRUE,6EQN,11.6EQN_Y,Y,1Y,YES,YES,NO,OBJ,V,NO,,YES
11-7-1,11,7,1,FALSE,FALSE,7EDN,11.7EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,YES,PP1,NO
11-7-2,11,7,2,FALSE,FALSE,7EDN,11.7EDN_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
11-8-1,11,8,1,FALSE,FALSE,8EDN,11.8EDN_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
11-8-2,11,8,2,FALSE,FALSE,8EDN,11.8EDN_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
12-1-1,12,1,1,FALSE,TRUE,1EQN,1EQN,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
12-1-2,12,1,2,FALSE,TRUE,1EQN,1EQN,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
12-10-1,12,10,1,FALSE,FALSE,10EDN,10EDN,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
12-10-2,12,10,2,FALSE,FALSE,10EDN,10EDN,Y,16X,NO,YES,NO,OBJ,NONE,NO,,NO
12-11-1,12,11,1,TRUE,TRUE,11EQY,11EQY,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
12-11-2,12,11,2,TRUE,TRUE,11EQY,11EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
12-12-1,12,12,1,FALSE,TRUE,12EQN,12EQN,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
12-12-2,12,12,2,FALSE,TRUE,12EQN,12EQN,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
12-13-1,12,13,1,TRUE,TRUE,13EQY,13EQY,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
12-13-2,12,13,2,TRUE,TRUE,13EQY,13EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
12-14-1,12,14,1,TRUE,FALSE,14EDY,14EDY,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
