Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item
10.16EDN_r1.wav,1050,909,6009,False,False,False,10,16
10.12EQY_r1.wav,1320,948,6349,False,True,True,10,12
10.33FDN_r2.wav,7260,1111,11791,True,False,False,10,33
10.44FQN_r1.wav,1170,1615,7256,True,True,False,10,44
10.23FQY_r2.wav,7230,2465,13265,True,True,True,10,23
10.16EDN_r2.wav,8790,1202,13832,False,False,False,10,16
10.12EQY_r2.wav,0,1149,13719,False,True,True,10,12
10.33FDN_r1.wav,870,1352,6122,True,False,False,10,33
10.44FQN_r2.wav,6450,1665,11565,True,True,False,10,44
10.23FQY_r1.wav,1080,1759,6349,True,True,True,10,23
10.29FQY_r1.wav,1200,882,6463,True,True,True,10,29
10.24FQY_r2.wav,7410,1225,11905,True,True,True,10,24
10.34FQN_r2.wav,8580,1472,13832,True,True,False,10,34
10.30FDY_r2.wav,0,2813,16553,True,False,True,10,30
10.43FDN_r1.wav,810,1522,5782,True,False,False,10,43
10.39FDN_r1.wav,810,1479,6009,True,False,False,10,39
10.4EDN_r1.wav,960,1739,6689,False,False,False,10,4
10.15EQY_r1.wav,960,1442,6122,False,True,True,10,15
10.11EQN_r1.wav,960,3220,8050,False,True,False,10,11
10.29FQY_r2.wav,7710,1739,13379,True,True,True,10,29
10.24FQY_r1.wav,1020,1986,6576,True,True,True,10,24
10.34FQN_r1.wav,900,3226,7936,True,True,False,10,34
10.30FDY_r1.wav,1320,1303,6463,True,False,True,10,30
10.43FDN_r2.wav,7920,1885,12925,True,False,False,10,43
10.4EDN_r2.wav,7890,1122,13152,False,False,False,10,4
10.39FDN_r2.wav,5279,1676,10317,True,False,False,10,39
10.15EQY_r2.wav,0,1459,14059,False,True,True,10,15
10.11EQN_r2.wav,4979,1410,9751,False,True,False,10,11
10.17FQY_r2.wav,7020,1739,13379,True,True,True,10,17
10.45FQN_r1.wav,930,1913,6803,True,True,False,10,45
10.22FQY_r2.wav,9389,1856,14966,True,True,True,10,22
10.48FDN_r2.wav,0,1626,14286,True,False,False,10,48
10.17FQY_r1.wav,1260,1523,6803,True,True,True,10,17
10.45FQN_r2.wav,10409,2077,16327,True,True,False,10,45
10.22FQY_r1.wav,1260,1016,6236,True,True,True,10,22
10.48FDN_r1.wav,1020,2330,7370,True,False,False,10,48
10.40FDN_r1.wav,1200,1189,6349,True,False,False,10,40
10.37FDN_r2.wav,7290,1458,12018,True,False,False,10,37
10.27FQY_r2.wav,6360,1204,11224,True,True,True,10,27
10.7EQN_r1.wav,1050,1562,6122,False,True,False,10,7
10.3EDY_r1.wav,1290,2235,7936,False,False,True,10,3
10.40FDN_r2.wav,9839,993,14853,True,False,False,10,40
10.37FDN_r1.wav,840,1032,5442,True,False,False,10,37
10.27FQY_r1.wav,1050,1419,6009,True,True,True,10,27
10.7EQN_r2.wav,8940,1452,14172,False,True,False,10,7
10.3EDY_r2.wav,5790,1271,11111,False,False,True,10,3
10.46FDN_r1.wav,1080,1446,6576,True,False,False,10,46
10.5EDY_r1.wav,960,1205,6576,False,False,True,10,5
10.21FQY_r2.wav,7110,1598,12698,True,True,True,10,21
10.10EDY_r1.wav,960,1453,6463,False,False,True,10,10
10.19FQY_r1.wav,1560,1703,6803,True,True,True,10,19
10.14EDN_r1.wav,1590,1723,6463,False,False,False,10,14
10.46FDN_r2.wav,6630,1238,11678,True,False,False,10,46
10.5EDY_r2.wav,9209,1036,14626,False,False,True,10,5
10.21FQY_r1.wav,1140,1379,6689,True,True,True,10,21
10.10EDY_r2.wav,0,1266,14286,False,False,True,10,10
10.19FQY_r2.wav,6930,2432,12812,True,True,True,10,19
10.14EDN_r2.wav,6330,1468,11338,False,False,False,10,14
10.13EQN_r1.wav,1710,1946,7256,False,True,False,10,13
10.26FQY_r2.wav,6840,1208,11678,True,True,True,10,26
