Filename;Leading;Trailing;Length;isFiller;Condition_Q;Condition_GP;Participant;Item;SP_Leading;SP_Trailing
204.47FDN_r1.wav;  660;NA; 4988;TRUE;FALSE;FALSE;204;47;  660;    0
204.5EDN_r1.wav;  600;  918; 5328;FALSE;FALSE;FALSE;204;5;  600;  918
204.11EQY_r2.wav;NA; 1539;14739;FALSE;TRUE;TRUE;204;11;    0; 1539
204.18FQY_r2.wav; 5580; 1134;10884;TRUE;TRUE;TRUE;204;18; 5580; 1134
204.15EQN_r2.wav; 5099; 1380;10770;FALSE;TRUE;FALSE;204;15; 5099; 1380
204.20FQY_r1.wav;  480;NA; 6575;TRUE;TRUE;TRUE;204;20;  480;    0
204.47FDN_r2.wav; 3959;NA; 8276;TRUE;FALSE;FALSE;204;47; 3959;NA
204.5EDN_r2.wav; 4889;NA;10770;FALSE;FALSE;FALSE;204;5; 4889;NA
204.36FQN_r2.wav; 1920;NA;11451;TRUE;TRUE;FALSE;204;36; 1920;NA
204.32FDY_r2.wav; 4679;NA; 8163;TRUE;FALSE;TRUE;204;32; 4679;NA
204.26FQY_r2.wav; 4619;  843; 9183;TRUE;TRUE;TRUE;204;26; 4619;  843
204.7EQY_r1.wav;  900;  649; 6349;FALSE;TRUE;TRUE;204;7;  900;  649
204.3EDN_r1.wav;  720;NA; 4648;FALSE;FALSE;FALSE;204;3;  720;    0
204.41FDN_r1.wav;  420;NA; 3854;TRUE;FALSE;FALSE;204;41;  420;    0
204.36FQN_r1.wav; 1050;  632; 6122;TRUE;TRUE;FALSE;204;36; 1050;  632
204.32FDY_r1.wav;  690;NA; 4988;TRUE;FALSE;TRUE;204;32;  690;    0
204.26FQY_r1.wav;  480; 1099; 6349;TRUE;TRUE;TRUE;204;26;  480; 1099
204.7EQY_r2.wav; 6360;NA;11678;FALSE;TRUE;TRUE;204;7; 6360;NA
204.3EDN_r2.wav; 3869;NA; 8049;FALSE;FALSE;FALSE;204;3; 3869;NA
204.41FDN_r2.wav; 3749; 1410; 8730;TRUE;FALSE;FALSE;204;41; 3749; 1410
204.33FDN_r2.wav; 3299;NA; 8276;TRUE;FALSE;FALSE;204;33; 3299;NA
