UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
19-15-1;19.15Y; 19;15EQY;B7;15;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;19.15Y; 19;15EQY;B7;15;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;I CAN'T PUT '15 Y' IN COLUMN D;NONE; 19;PP1;NO;TRUE;NO;NONE;NONE;PP1;15;YES;X;FALSE;NO; 19;15EDY;19.15EDY_X;1;NO;PP1;1X;19-15;D +GP;TRUE;FALSE;PP1;19-15;2;3;PP1 > OBJ;PP1;PP1
19-15-2;19.15X; 19;15EQY;B7;15;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;19.15X; 19;15EQY;B7;15;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 19;PP1;NO;TRUE;NO;NONE;NONE;PP1;15;YES;Y;FALSE;NO; 19;15EDY;19.15EDY_Y;2;NO;PP1;1X;19-15;D +GP;TRUE;FALSE;PP1;19-15;2;3;PP1 > OBJ;PP1 > OBJ;PP1
19-7-1;19.7Y; 19;7EQN;B7; 7;Y;1X;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;19.7Y; 19;7EQN;B7; 7;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 19;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 7;YES;X;FALSE;NO; 19;7EDN;19.7EDN_X;1;NO;OBJ > PP1;1X;19-7;D -GP;FALSE;TRUE;BOTH;19-7;2;3;BOTH;PP1 > OBJ;OBJ > PP1
19-7-2;19.7X; 19;7EQN;B7; 7;X;1X;YES;NO;YES;NONE;NONE;NO;NONE;NO;NONE;19.7X; 19;7EQN;B7; 7;X;NONE;NO;NO;YES;PP1;V;NO;NONE;NO;NONE;NONE; 19;PP1;NO;FALSE;NO;NONE;NONE;PP1; 7;YES;Y;FALSE;NO; 19;7EDN;19.7EDN_Y;2;NO;PP1;1X;19-7;D -GP;TRUE;FALSE;PP1;19-7;2;3;PP1;PP1;PP1
203-1-1;203.1Y;203;1EQY;B3; 1;Y;1X;YES;YES;YES;PP1;V;YES;SUBJ;NO;sort of swallows the subject;203.1Y;203;1EQY;B3; 1;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 1;YES;Y;FALSE;NO;203;1EDY;1EDY;1;NO;PP1;16X;203-1;D +GP;TRUE;FALSE;PP1;203-1;1;3;PP1 > OBJ;PP1 > OBJ;PP1
203-1-2;203.1X;203;1EQY;B3; 1;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;203.1X;203;1EQY;B3; 1;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 1;YES;X;FALSE;NO;203;1EDY;1EDY;2;NO;PP1;16X;203-1;D +GP;TRUE;FALSE;PP1;203-1;1;3;PP1 > OBJ;PP1 > OBJ;PP1
203-11-1;203.11Y;203;11EQN;B3;11;Y;1X;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;203.11Y;203;11EQN;B3;11;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;203;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;11;NO;Y;FALSE;NO;203;11EDN;11EDN;1;NO;OBJ;16X;203-11;D -GP;FALSE;TRUE;OBJ;203-11;1;3;BOTH;OBJ;OBJ
203-11-2;203.11X;203;11EQN;B3;11;X;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;203.11X;203;11EQN;B3;11;X;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;203;NONE;YES;FALSE;NO;NONE;NONE;OBJ PP1;11;YES;X;FALSE;NO;203;11EDN;11EDN;2;NO;OBJ PP1;16X;203-11;D -GP;FALSE;FALSE;BOTH;203-11;1;3;OBJ > PP1;OBJ;BOTH
203-13-1;203.13Y;203;13EQN;B3;13;Y;1X;NO;NO;YES;PP1;NONE;YES;V;NO;NONE;203.13Y;203;13EQN;B3;13;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;203;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;13;NO;Y;FALSE;NO;203;13EDN;13EDN;1;NO;OBJ;16X;203-13;D -GP;FALSE;TRUE;OBJ;203-13;1;3;PP1;OBJ;OBJ
203-13-2;203.13X;203;13EQN;B3;13;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;203.13X;203;13EQN;B3;13;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;13;NO;X;FALSE;NO;203;13EDN;13EDN;2;NO;OBJ;16X;203-13;D -GP;FALSE;TRUE;OBJ;203-13;1;3;PP1 > OBJ;PP1 > OBJ;OBJ
203-15-1;203.15Y;203;15EQY;B3;15;Y;1X;NO;YES;YES;NONE;NONE;YES;V;NO;"sort of swallows the verb? is this ""struggling""?";203.15Y;203;15EQY;B3;15;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1;15;YES;Y;FALSE;NO;203;15EDY;15EDY;1;NO;PP1;16X;203-15;D +GP;TRUE;FALSE;PP1;203-15;1;3;BOTH;PP1 > OBJ;PP1
203-15-2;203.15X;203;15EQY;B3;15;X;1X;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;203.15X;203;15EQY;B3;15;X;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1;15;YES;X;FALSE;NO;203;15EDY;15EDY;2;NO;PP1;16X;203-15;D +GP;TRUE;FALSE;PP1;203-15;1;3;BOTH;PP1;PP1
