STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
PP1,TRUE,10-15-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,Y,TRUE,YES,10,15EQY,15EQY,2,FALSE,PP1 > OBJ,1X,10-15,Q +GP,TRUE,FALSE,BOTH,10-15
NONE,TRUE,10-16-1,FALSE,FALSE,NONE,NA,OBJ PP1,16,TRUE,X,FALSE,NO,10,16EDN,16EDN,1,FALSE,OBJ PP1,1X,10-16,D -GP,FALSE,FALSE,BOTH,10-16
OBJ,TRUE,10-16-2,FALSE,FALSE,PP1,NA,OBJ > PP1,16,TRUE,Y,FALSE,NO,10,16EDN,16EDN,2,FALSE,OBJ > PP1,1X,10-16,D -GP,FALSE,TRUE,BOTH,10-16
PP1,TRUE,10-2-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,2,TRUE,X,FALSE,NO,10,2EDY,2EDY,1,FALSE,PP1 > OBJ,1X,10-2,D +GP,TRUE,FALSE,BOTH,10-2
PP1,TRUE,10-2-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,2,TRUE,Y,FALSE,NO,10,2EDY,2EDY,2,FALSE,PP1 > OBJ,1X,10-2,D +GP,TRUE,FALSE,BOTH,10-2
PP1,TRUE,10-3-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,3,TRUE,X,FALSE,NO,10,3EDY,3EDY,1,FALSE,PP1 > OBJ,1X,10-3,D +GP,TRUE,FALSE,BOTH,10-3
OBJ,TRUE,10-3-2,TRUE,FALSE,PP1,NA,OBJ > PP1,3,TRUE,Y,FALSE,NO,10,3EDY,3EDY,2,FALSE,OBJ > PP1,1X,10-3,D +GP,FALSE,TRUE,BOTH,10-3
OBJ,TRUE,10-4-1,FALSE,FALSE,NONE,NA,OBJ,4,FALSE,X,FALSE,NO,10,4EDN,4EDN,1,FALSE,OBJ,1X,10-4,D -GP,FALSE,TRUE,OBJ,10-4
PP1,TRUE,10-4-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,4,TRUE,Y,FALSE,NO,10,4EDN,4EDN,2,FALSE,PP1 > OBJ,1X,10-4,D -GP,TRUE,FALSE,BOTH,10-4
OBJ,TRUE,10-5-1,TRUE,FALSE,PP1,NA,OBJ > PP1,5,TRUE,X,FALSE,NO,10,5EDY,5EDY,1,FALSE,OBJ > PP1,1X,10-5,D +GP,FALSE,TRUE,BOTH,10-5
PP1,TRUE,10-5-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,5,TRUE,Y,FALSE,NO,10,5EDY,5EDY,2,FALSE,PP1 > OBJ,1X,10-5,D +GP,TRUE,FALSE,BOTH,10-5
PP1,FALSE,10-6-1,FALSE,FALSE,NONE,NA,PP1,6,TRUE,X,FALSE,NO,10,6EDN,6EDN,1,FALSE,PP1,1X,10-6,D -GP,TRUE,FALSE,PP1,10-6
OBJ,TRUE,10-6-2,FALSE,FALSE,PP1,NA,OBJ > PP1,6,TRUE,Y,FALSE,NO,10,6EDN,6EDN,2,FALSE,OBJ > PP1,1X,10-6,D -GP,FALSE,TRUE,BOTH,10-6
OBJ,TRUE,10-7-1,FALSE,FALSE,PP1,NA,OBJ > PP1,7,TRUE,X,TRUE,YES,10,7EQN,7EQN,1,FALSE,OBJ > PP1,1X,10-7,Q -GP,FALSE,TRUE,BOTH,10-7
