Participant,r1delbyp,r1DelCat,Item,target,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller,Condition_Q,Condition_GP,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10
4,1410,SLOW,9,9,she,had,intended to,stick,in,onto,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,FALSE,20278.88,4.9EQN,3420,20250,25283.5,4230,5668.88,28.88,1,+Q -GP,+Q,-GP,13949.435000000001,4.144556617548577
4,1410,SLOW,7,7,he,had,wanted to,put,on,onto,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,TRUE,4025.5,4.7EQY,3900,2640,6916.12,2910,5555.5,1385.5,1,+Q +GP,+Q,+GP,4025.5,3.6048198309783377
5,1218.75,NORMAL,12,12,he,had,planned to,stick,on,onto,from,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,FALSE,FALSE,12773.12,5.12EDN,4380,9900,16439.88,3900,7823.12,2873.12,1,-Q -GP,-Q,-GP,12773.12,4.106296992273757
5,1218.75,NORMAL,4,4,she,had,planned to,cram,in,into,of,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,TRUE,TRUE,13013.5,5.4EQY,4230,9810,16326.5,4830,8843.5,3203.5,1,+Q +GP,+Q,+GP,13013.5,4.114394116412554
5,1218.75,NORMAL,3,3,he,had,wanted to,cram,under,into,from,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,TRUE,FALSE,9146.25,5.3EQN,3480,6420,13265.25,3660,7256.25,2726.25,1,+Q -GP,+Q,-GP,9350.254500000001,3.9708234318822964
5,1218.75,NORMAL,9,9,she,had,intended to,stick,in,onto,of,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,FALSE,FALSE,13392.12,5.9EDN,2250,12450,17347,2280,5442.12,942.12,1,-Q -GP,-Q,-GP,13259.603,4.1225305212414245
5,1218.75,NORMAL,8,8,she,had,planned to,put,in,onto,of,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,FALSE,TRUE,10829.75,5.8EDY,3180,6960,12471.62,2520,7709.75,3869.75,1,-Q +GP,-Q,+GP,10829.75,4.034618431244558
5,1218.75,NORMAL,14,14,he,had,decided to,set,on,onto,of,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,TRUE,TRUE,11362.75,5.14EQY,3930,9750,15986.38,4230,6802.75,1612.75,1,+Q +GP,+Q,+GP,11362.75,4.05548345155905
5,1218.75,NORMAL,13,13,she,had,intended to,set,in,onto,from,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,FALSE,TRUE,10559.38,5.13EDY,3750,8550,14285.75,3210,6689.38,2009.38,1,-Q +GP,-Q,+GP,10559.38,4.02363841909897
5,1218.75,NORMAL,2,2,she,had,decided to,cram,in,into,from,5,F,4,4,1,3,Summer,MONDAY,1400,6/25,FALSE,TRUE,FALSE,9729.12,5.2EQN,3690,8610,13605.5,3840,6009.12,1119.12,1,+Q -GP,+Q,-GP,9729.12,3.988073560059963
6,1402.5,SLOW,12,12,he,had,planned to,stick,on,onto,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,TRUE,15492.62,6.12EQY,3690,14490,18934.25,3900,6462.62,1002.62,1,+Q +GP,+Q,+GP,15492.62,4.190124868716246
6,1402.5,SLOW,3,3,he,had,wanted to,cram,under,into,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,TRUE,6396,6.3EDY,4320,5820,10771,4170,6576,576,1,-Q +GP,-Q,+GP,8603.34,3.9346670863560265
6,1402.5,SLOW,7,7,he,had,wanted to,put,on,onto,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,FALSE,15072.12,6.7EQN,4350,14460,19047.62,3810,5442.12,612.12,1,+Q -GP,+Q,-GP,15072.12,4.1781743431936516
6,1402.5,SLOW,10,10,he,had,decided to,stick,in,into,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,TRUE,14579.38,6.10EDY,4200,13140,17913.88,3780,6689.38,1439.38,1,-Q +GP,-Q,+GP,14579.38,4.163739055648348
6,1402.5,SLOW,2,2,she,had,decided to,cram,in,into,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,TRUE,12585.75,6.2EDY,3720,11700,16213.13,3420,5895.75,885.75,1,-Q +GP,-Q,+GP,12585.75,4.09987910078674
6,1402.5,SLOW,15,15,she,had,wanted to,set,on,into,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,TRUE,10455.75,6.15EQY,4320,9930,14852.62,4110,5895.75,525.75,1,+Q +GP,+Q,+GP,10455.75,4.019355190590231
6,1402.5,SLOW,16,16,he,had,planned to,set,on,onto,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,FALSE,13538.62,6.16EDN,2760,12600,19047.62,3210,4988.62,938.62,1,-Q -GP,-Q,-GP,13538.62,4.131574398697069
6,1402.5,SLOW,6,6,she,had,decided to,put,on,onto,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,FALSE,14445.75,6.6EDN,2970,13440,17233.5,2490,5895.75,1005.75,1,-Q -GP,-Q,-GP,14445.75,4.159740094633372
6,1402.5,SLOW,13,13,she,had,intended to,set,in,onto,from,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,FALSE,12805.38,6.13EQN,3270,12420,16213.13,3420,5215.38,385.38,1,+Q -GP,+Q,-GP,12805.38,4.107392470696244
6,1402.5,SLOW,1,1,he,had,intended to,cram,in,into,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,TRUE,13322.5,6.1EQY,3870,12450,17006.75,4140,6122.5,872.5,1,+Q +GP,+Q,+GP,13322.5,4.124585728912949
6,1402.5,SLOW,9,9,she,had,intended to,stick,in,onto,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,TRUE,19512.62,6.9EQY,2310,18210,21201.88,4170,6462.62,1302.62,1,+Q +GP,+Q,+GP,16497.62,4.217421296006628
6,1402.5,SLOW,8,8,she,had,planned to,put,in,onto,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,FALSE,10239.12,6.8EQN,3780,9780,14625.88,4140,6009.12,459.12,1,+Q -GP,+Q,-GP,10239.12,4.010262632853994
6,1402.5,SLOW,5,5,he,had,intended to,put,on,into,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,TRUE,9752.5,6.5EDY,3450,8670,12925.12,2940,6122.5,1082.5,1,-Q +GP,-Q,+GP,9752.5,3.9891159589838288
6,1402.5,SLOW,14,14,he,had,decided to,set,on,onto,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,FALSE,9339.12,6.14EDN,3960,8160,13718.88,3780,6009.12,1179.12,1,-Q -GP,-Q,-GP,9339.12,3.970305955764423
6,1402.5,SLOW,4,4,she,had,planned to,cram,in,into,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,FALSE,FALSE,14068.88,6.4EDN,3810,13680,18027.25,4050,5668.88,388.88,1,-Q -GP,-Q,-GP,14068.88,4.148259525353697
6,1402.5,SLOW,11,11,she,had,wanted to,stick,in,into,of,6,F,2,1,0,3,Summer,MONDAY,1500,6/25,FALSE,TRUE,FALSE,13955.5,6.11EQN,3840,13470,17800.5,3900,5555.5,485.5,1,+Q -GP,+Q,-GP,13955.5,4.1447454010791045
7,1168.125,NORMAL,9,9,she,had,intended to,stick,in,onto,of,7,M,3,1,1,3,Summer,TUESDAY,1100,6/26,FALSE,FALSE,TRUE,7832,7.9EDY,2760,6810,10204.12,2220,5102,1022,2,-Q +GP,-Q,+GP,7832,3.8938726787950815
7,1168.125,NORMAL,14,14,he,had,decided to,set,on,onto,of,7,M,3,1,1,3,Summer,TUESDAY,1100,6/26,FALSE,TRUE,FALSE,6401.75,7.14EQN,2520,5400,8843.5,2490,4421.75,1001.75,2,+Q -GP,+Q,-GP,6401.75,3.806298710148562
