Participant,Item,Filename,Leading,Trailing,Length,isFiller.x,Condition_Q.x,Condition_GP.x,Utterance length,Reading,reading,R1 Leading,r1delbyp,r1DelCat,target,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller.y,Condition_Q.y,Condition_GP.y,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10
13,9,13.9EDN_r1.wav,870,1322.5,6122.5,FALSE,FALSE,FALSE,3930,Cold,1,870,1093.125,NORMAL,9,she,had,intended to,stick,in,onto,of,13,F,4,1,1,3,Summer,MONDAY,1600,7/9,FALSE,FALSE,FALSE,8762.5,13.9EDN,3360,7440,12585,3930,6122.5,1322.5,1,-Q -GP,-Q,-GP,8762.5,3.9426280309747153
14,1,14.1EQY_r1.wav,1080,1999.25,6349.25,FALSE,TRUE,TRUE,3270,Cold,1,1080,1170,NORMAL,1,he,had,intended to,cram,in,into,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,TRUE,12589.25,14.1EQY,3750,10590,15646.25,3270,6349.25,1999.25,3,+Q +GP,+Q,+GP,12589.25,4.099999857942367
14,10,14.10EDY_r1.wav,1710,599.38,6689.38,FALSE,FALSE,TRUE,4380,Cold,1,1710,1170,NORMAL,10,he,had,decided to,stick,in,into,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,TRUE,8639.38,14.10EDY,3180,8040,12244.88,4380,6689.38,599.38,3,-Q +GP,-Q,+GP,8639.38,3.936482576710342
14,11,14.11EQN_r1.wav,1860,445.88,6235.88,FALSE,TRUE,FALSE,3930,Cold,1,1860,1170,NORMAL,11,she,had,wanted to,stick,in,into,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,FALSE,7105.88,14.11EQN,3210,6660,11111.12,3930,6235.88,445.88,3,+Q -GP,+Q,-GP,7105.88,3.8516178691006955
14,12,14.12EQY_r1.wav,840,248.62,4988.62,FALSE,TRUE,TRUE,3900,Cold,1,840,1170,NORMAL,12,he,had,planned to,stick,on,onto,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,TRUE,10718.62,14.12EQY,3900,10470,15532.88,3900,4988.62,248.62,3,+Q +GP,+Q,+GP,10718.62,4.030138874445894
14,13,14.13EQN_r1.wav,780,1048.5,4648.5,FALSE,TRUE,FALSE,2820,Cold,1,780,1170,NORMAL,13,she,had,intended to,set,in,onto,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,FALSE,13108.5,14.13EQN,3060,12060,15986.38,2820,4648.5,1048.5,3,+Q -GP,+Q,-GP,13108.5,4.117552998403011
14,14,14.14EDN_r1.wav,870,648.38,4308.38,FALSE,FALSE,FALSE,2790,Cold,1,870,1170,NORMAL,14,he,had,decided to,set,on,onto,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,FALSE,5958.38,14.14EDN,3060,5310,11337.88,2790,4308.38,648.38,3,-Q -GP,-Q,-GP,6046.0325,3.781470477365901
14,15,14.15EQY_r1.wav,1440,819.12,6009.12,FALSE,TRUE,TRUE,3750,Cold,1,1440,1170,NORMAL,15,she,had,wanted to,set,on,into,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,TRUE,10179.12,14.15EQY,3510,9360,14399.12,3750,6009.12,819.12,3,+Q +GP,+Q,+GP,10179.12,4.007710234222393
14,16,14.16EDN_r1.wav,1860,562.38,5782.38,FALSE,FALSE,FALSE,3360,Cold,1,1860,1170,NORMAL,16,he,had,planned to,set,on,onto,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,FALSE,6682.38,14.16EDN,3300,6120,10771,3360,5782.38,562.38,3,-Q -GP,-Q,-GP,6682.38,3.824931168579976
14,2,14.2EDY_r1.wav,810,975.75,5895.75,FALSE,FALSE,TRUE,4110,Cold,1,810,1170,NORMAL,2,she,had,decided to,cram,in,into,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,TRUE,8475.75,14.2EDY,9240,7500,16780,4110,5895.75,975.75,3,-Q +GP,-Q,+GP,8475.75,3.92817813831463
14,3,14.3EDY_r1.wav,1080,895.88,6235.88,FALSE,FALSE,TRUE,4260,Cold,1,1080,1170,NORMAL,3,he,had,wanted to,cram,under,into,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,TRUE,9955.88,14.3EDY,3510,9060,13265.25,4260,6235.88,895.88,3,-Q +GP,-Q,+GP,9955.88,3.9980796533391363
14,4,14.4EDN_r1.wav,1050,398.62,4988.62,FALSE,FALSE,FALSE,3540,Cold,1,1050,1170,NORMAL,4,she,had,planned to,cram,in,into,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,FALSE,7538.62,14.4EDN,3930,7140,24149.62,3540,4988.62,398.62,3,-Q -GP,-Q,-GP,7538.62,3.877291852336984
14,5,14.5EDY_r1.wav,1320,775.88,6235.88,FALSE,FALSE,TRUE,4140,Cold,1,1320,1170,NORMAL,5,he,had,intended to,put,on,into,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,TRUE,8335.88,14.5EDY,3090,7560,11904.75,4140,6235.88,775.88,3,-Q +GP,-Q,+GP,8335.88,3.9209514540704995
14,6,14.6EDN_r1.wav,840,291.88,4761.88,FALSE,FALSE,FALSE,3630,Cold,1,840,1170,NORMAL,6,she,had,decided to,put,on,onto,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,FALSE,FALSE,8541.88,14.6EDN,3120,8250,12698.38,3630,4761.88,291.88,3,-Q -GP,-Q,-GP,8541.88,3.9315534659781974
14,7,14.7EQN_r1.wav,1350,1332.62,6462.62,FALSE,TRUE,FALSE,3780,Cold,1,1350,1170,NORMAL,7,he,had,wanted to,put,on,onto,from,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,FALSE,7482.62,14.7EQN,3540,6150,10997.75,3780,6462.62,1332.62,3,+Q -GP,+Q,-GP,7482.62,3.874053690419671
14,8,14.8EQN_r1.wav,810,405.25,4875.25,FALSE,TRUE,FALSE,3660,Cold,1,810,1170,NORMAL,8,she,had,planned to,put,in,onto,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,FALSE,6075.25,14.8EQN,3090,5670,9750.62,3660,4875.25,405.25,3,+Q -GP,+Q,-GP,6075.25,3.7835641541035203
14,9,14.9EQY_r1.wav,1020,1432.75,6802.75,FALSE,TRUE,TRUE,4350,Cold,1,1020,1170,NORMAL,9,she,had,intended to,stick,in,onto,of,14,M,3,3,0,4,Summer,WEDNESDAY,1300,7/11,FALSE,TRUE,TRUE,14722.75,14.9EQY,3570,13290,19954.62,4350,6802.75,1432.75,3,+Q +GP,+Q,+GP,13512.0625,4.130721645395274
15,1,15.1EDY_r1.wav,540,75.75,5895.75,FALSE,FALSE,TRUE,5280,Cold,1,540,603.75,FAST,1,he,had,intended to,cram,in,into,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,TRUE,8085.75,15.1EDY,4140,8010,12811.75,5280,5895.75,75.75,3,-Q +GP,-Q,+GP,8085.75,3.907720309431624
15,10,15.10EQY_r1.wav,600,245.5,5555.5,FALSE,TRUE,TRUE,4710,Cold,1,600,603.75,FAST,10,he,had,decided to,stick,in,into,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,TRUE,6065.5,15.10EQY,2520,5820,19841.25,4710,5555.5,245.5,3,+Q +GP,+Q,+GP,6065.5,3.7828666070641925
15,11,15.11EDN_r1.wav,510,31.62,4081.62,FALSE,FALSE,FALSE,3540,Cold,1,510,603.75,FAST,11,she,had,wanted to,stick,in,into,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,FALSE,4831.62,15.11EDN,3330,4800,9864,3540,4081.62,31.62,3,-Q -GP,-Q,-GP,4831.62,3.68409277031657
15,12,15.12EDY_r1.wav,720,195.25,4875.25,FALSE,FALSE,TRUE,3960,Cold,1,720,603.75,FAST,12,he,had,planned to,stick,on,onto,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,TRUE,7395.25,15.12EDY,3960,7200,11564.62,3960,4875.25,195.25,3,-Q +GP,-Q,+GP,7395.25,3.8689528601159084
15,13,15.13EDN_r1.wav,900,18.38,4308.38,FALSE,FALSE,FALSE,3390,Cold,1,900,603.75,FAST,13,she,had,intended to,set,in,onto,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,FALSE,11418.38,15.13EDN,3300,11400,15646.25,3390,4308.38,18.38,3,-Q -GP,-Q,-GP,11418.38,4.057604492091315
15,14,15.14EQN_r1.wav,720,91.62,4081.62,FALSE,TRUE,FALSE,3270,Cold,1,720,603.75,FAST,14,he,had,decided to,set,on,onto,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,FALSE,6781.62,15.14EQN,3360,6690,10430.88,3270,4081.62,91.62,3,+Q -GP,+Q,-GP,6781.62,3.831333450949776
15,15,15.15EDY_r1.wav,210,438.38,4308.38,FALSE,FALSE,TRUE,3660,Cold,1,210,603.75,FAST,15,she,had,wanted to,set,on,into,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,TRUE,7788.38,15.15EDY,3750,7350,11678,3660,4308.38,438.38,3,-Q +GP,-Q,+GP,7788.38,3.89144713286816
15,16,15.16EQN_r1.wav,600,1678.88,5668.88,FALSE,TRUE,FALSE,3390,Cold,1,600,603.75,FAST,16,he,had,planned to,set,on,onto,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,FALSE,20698.88,15.16EQN,3720,19020,23582.75,3390,5668.88,1678.88,3,+Q -GP,+Q,-GP,16650.935,4.221438625466331
15,2,15.2EQY_r1.wav,690,148.5,4648.5,FALSE,TRUE,TRUE,3810,Cold,1,690,603.75,FAST,2,she,had,decided to,cram,in,into,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,TRUE,2158.5,15.2EQY,7680,2010,10090.75,3810,4648.5,148.5,3,+Q +GP,+Q,+GP,2158.5,3.3341520529922866
15,3,15.3EQY_r1.wav,600,345.25,4875.25,FALSE,TRUE,TRUE,3930,Cold,1,600,603.75,FAST,3,he,had,wanted to,cram,under,into,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,TRUE,7935.25,15.3EQY,4530,7590,12471.62,3930,4875.25,345.25,3,+Q +GP,+Q,+GP,7935.25,3.8995606137512517
15,4,15.4EQN_r1.wav,690,305.12,4535.12,FALSE,TRUE,FALSE,3540,Cold,1,690,603.75,FAST,4,she,had,planned to,cram,in,into,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,FALSE,9425.12,15.4EQN,4110,9120,13945.62,3540,4535.12,305.12,3,+Q -GP,+Q,-GP,9425.12,3.9742868883214446
15,5,15.5EQY_r1.wav,540,28.5,4648.5,FALSE,TRUE,TRUE,4080,Cold,1,540,603.75,FAST,5,he,had,intended to,put,on,into,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,TRUE,6898.5,15.5EQY,4020,6870,11451.25,4080,4648.5,28.5,3,+Q +GP,+Q,+GP,6898.5,3.838754668629719
15,6,15.6EQN_r1.wav,420,318.38,4308.38,FALSE,TRUE,FALSE,3570,Cold,1,420,603.75,FAST,6,she,had,decided to,put,on,onto,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,TRUE,FALSE,948.38,15.6EQN,7830,630,13265.25,3570,4308.38,318.38,3,+Q -GP,+Q,-GP,1855.97,3.2685709519799575
15,7,15.7EDN_r1.wav,570,31.62,4081.62,FALSE,FALSE,FALSE,3480,Cold,1,570,603.75,FAST,7,he,had,wanted to,put,on,onto,from,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,FALSE,15301.62,15.7EDN,3630,15270,19841.25,3480,4081.62,31.62,3,-Q -GP,-Q,-GP,15301.62,4.184737412504931
15,8,15.8EDN_r1.wav,570,151.62,4081.62,FALSE,FALSE,FALSE,3360,Cold,1,570,603.75,FAST,8,she,had,planned to,put,in,onto,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,FALSE,7141.62,15.8EDN,3390,6990,10771,3360,4081.62,151.62,3,-Q -GP,-Q,-GP,7141.62,3.853796738002709
15,9,15.9EDY_r1.wav,780,345.25,4875.25,FALSE,FALSE,TRUE,3750,Cold,1,780,603.75,FAST,9,she,had,intended to,stick,in,onto,of,15,F,4,3,1,4,Summer,WEDNESDAY,1600,7/11,FALSE,FALSE,TRUE,7815.25,15.9EDY,3900,7470,12018.12,3750,4875.25,345.25,3,-Q +GP,-Q,+GP,7815.25,3.892942875110662
16,1,16.1EQN_r1.wav,270,2.5,6122.5,FALSE,TRUE,FALSE,5850,Cold,1,270,706.875,FAST,1,he,had,intended to,cram,in,into,of,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,TRUE,FALSE,12122.5,16.1EQN,4320,12120,17573.75,5850,6122.5,2.5,3,+Q -GP,+Q,-GP,12122.5,4.083592192787562
16,10,16.10EDN_r1.wav,240,28.88,5668.88,FALSE,FALSE,FALSE,5400,Cold,1,240,706.875,FAST,10,he,had,decided to,stick,in,into,from,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,FALSE,FALSE,19438.88,16.10EDN,4080,19410,25510.25,5400,5668.88,28.88,3,-Q -GP,-Q,-GP,19438.88,4.2886712387881945
16,11,16.11EQY_r1.wav,960,955.38,5215.38,FALSE,TRUE,TRUE,3300,Cold,1,960,706.875,FAST,11,she,had,wanted to,stick,in,into,of,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,TRUE,TRUE,13855.38,16.11EQY,3510,12900,18254,3300,5215.38,955.38,3,+Q +GP,+Q,+GP,13855.38,4.141618441315653
16,12,16.12EQN_r1.wav,750,1269.12,6009.12,FALSE,TRUE,FALSE,3990,Cold,1,750,706.875,FAST,12,he,had,planned to,stick,on,onto,from,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,TRUE,FALSE,9339.12,16.12EQN,3870,8070,12698.38,3990,6009.12,1269.12,3,+Q -GP,+Q,-GP,9339.12,3.970305955764423
16,13,16.13EQY_r1.wav,1170,978.75,5328.75,FALSE,TRUE,TRUE,3180,Cold,1,1170,706.875,FAST,13,she,had,intended to,set,in,onto,from,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,TRUE,TRUE,13608.75,16.13EQY,3780,12630,17800.5,3180,5328.75,978.75,3,+Q +GP,+Q,+GP,13608.75,4.133818235928275
16,14,16.14EDY_r1.wav,510,805.38,5215.38,FALSE,FALSE,TRUE,3900,Cold,1,510,706.875,FAST,14,he,had,decided to,set,on,onto,of,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,FALSE,TRUE,7645.38,16.14EDY,3660,6840,12018.12,3900,5215.38,805.38,3,-Q +GP,-Q,+GP,7645.38,3.883399076118744
16,15,16.15EQN_r1.wav,270,22.38,5782.38,FALSE,TRUE,FALSE,5490,Cold,1,270,706.875,FAST,15,she,had,wanted to,set,on,into,of,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,TRUE,FALSE,8572.38,16.15EQN,3600,8550,14059,5490,5782.38,22.38,3,+Q -GP,+Q,-GP,8572.38,3.9331014143816048
16,16,16.16EDY_r1.wav,510,21.88,4761.88,FALSE,FALSE,TRUE,4230,Cold,1,510,706.875,FAST,16,he,had,planned to,set,on,onto,from,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,FALSE,TRUE,11991.88,16.16EDY,3600,11970,16893.38,4230,4761.88,21.88,3,-Q +GP,-Q,+GP,11991.88,4.078887273976432
16,2,16.2EDN_r1.wav,450,15.75,5895.75,FALSE,FALSE,FALSE,5430,Cold,1,450,706.875,FAST,2,she,had,decided to,cram,in,into,from,16,F,1,1,1,3,Summer,WEDNESDAY,1700,7/11,FALSE,FALSE,FALSE,9555.75,16.2EDN,3810,9540,15419.5,5430,5895.75,15.75,3,-Q -GP,-Q,-GP,9555.75,3.980264779102042
